timestamp,what_country_do_you_work_in,where_is_the_closest_major_city_or_hub,biotech_sub_industry,company_or_institution_name,company_details_publicprivatestartup_subsidiary_of,company_detail_approximate_company_size,role_title_of_current_position,highest_achieved_formal_education,list_other_relevant_and_recognized_certifications,briefly_describe_your_position,years_of_experience,compensation_annual_base_salarypay,compensation_overtime_pay,compensation_annual_target_bonus,compensation_annual_equity,compensation_sign_on_bonus_value,compensation_stock_options,compensation_retirement_benefits,compensation_healthcare_benefits,compensation_most_recent_annual_yearly_raise,sign_on_relocation_assistance_total_value,company_review
2023-05-30 14:22:00.405000,United States,San Diego,Industrial Biotech,Prefer not to say,Public,5000+,Process Transfer Chemist,Bachelors or Equivalent,None,,3.0,75000.0,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,,,5% 401k match,,3.0,,
2023-06-05 12:44:49.690000,United States,Midwest,Industrial Biotech,Cytek,Public,200-1000,Technical Applications Specialist,PhD or Equivalent,None,"TAS/FAS role - support sales with (remote) seminars and onsite activities, trainings on-site and remote.",4.0,105000.0,N/A (no overtime/salaried),25000.0,Not Applicable/None,0.0,"RSU grant at sign on, and option to purchase stocks at discount",4.5% 401k match,"$0/month $3,000 deductible $600 HSA, or $100 month/$1,500 deductible and one more tier.",4.0,,
2023-06-06 13:23:06.083000,United States,San Diego,Industrial Biotech,Prefer not to say,Start-up,1-50,Sr. RA,Bachelors or Equivalent,None,Protein Production/purification (upstream & downstream),8.0,100000.0,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,0.0,Not sure,5% whether or not I contribute. ,,Have not been long enough to have an annual yearly raise,,
2023-07-01 15:35:51.939000,United States,Boston,Industrial Biotech,Prefer not to say,Private,1-50,Director Biology,PhD or Equivalent,None,Group and Program Lead,15.0,200000.0,N/A (no overtime/salaried),40000.0,Not Applicable/None,30000.0,Available ,5% match,100% paid for plan,Have not been long enough to have an annual yearly raise,0.0,Ok
2023-07-03 05:07:43.050000,United States,Bay area,Industrial Biotech,Prefer not to say,Private,1000-5000,Bioinformatics Scientist,PhD or Equivalent,None,,2.0,175000.0,N/A (no overtime/salaried),0.08,30000.0,35000.0,RSU,,,Have not been long enough to have an annual yearly raise,,
2023-07-07 21:21:55.409000,United States,Boston,Industrial Biotech,Vernal Biosciences,Start-up,50-200,Principal Research Associate,Masters or Equivalent,None,Analytical development of discovery and RUO production platform,4.0,78000.0,N/A (no overtime/salaried),8000.0,Not Applicable/None,0.0,,4% match,,Have not been long enough to have an annual yearly raise,,
2023-07-27 15:28:16.907000,United States,Boston,Industrial Biotech,Prefer not to say,Start-up,1-50,Research Associate,Bachelors or Equivalent,None,,1.0,70000.0,N/A (no overtime/salaried),5000.0,Not Applicable/None,,,,,Have not been long enough to have an annual yearly raise,2000.0,
2023-07-28 16:23:29.478000,United States,Redwood City,Industrial Biotech,Synthego Corporation,Private,200-1000,Cell Engineer Specialist,Bachelors or Equivalent,None,"Utilized CRISPR-Cas9 in production to genetically edit immortalized and iPSC cell lines for research clients (biotech, pharma, and academia). Facilitate quality control of CRISPR-edited cells.",5.0,70720.0,1.5x base,Not Applicable/None,Not Applicable/None,0.0,N/A.,401K (not 3% match),"Blue Shield or Kaiser, Dental - Aetna or Delta Dental. HSA contributions.",Company/Institution does not have annual yearly raise,,"I do not recommend working here. My former work colleagues are great and supportive. However, management and work culture is bad. Leadership does not know what they are precisely doing. The vision of leadership does not align with reality. Management is also toxic to employees and try to gaslit people for speaking up."
2023-07-31 19:54:26.953000,United States,Boston,Industrial Biotech,Prefer not to say,Start-up,50-200,Scientist,PhD or Equivalent,None,,2.0,120000.0,N/A (no overtime/salaried),15000.0,Not Applicable/None,,3000 RSUs,50% match up to 60%,$2K/yr HSA contribution,Have not been long enough to have an annual yearly raise,,
2023-08-02 21:09:03.081000,United States,Research Triangle,Industrial Biotech,Prefer not to say,Subsidiary,,Lab tech 1,Bachelors or Equivalent,None,,0.0,54000.0,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,,,,,Have not been long enough to have an annual yearly raise,,
2023-08-10 19:03:09.570000,United States,Bay Area,Industrial Biotech,Prefer not to say,Private,50-200,Scientist II,PhD or Equivalent,None,,3.0,125000.0,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,,,,,Have not been long enough to have an annual yearly raise,,
2023-09-17 13:50:47.946000,United States,San Diego,Industrial Biotech,Prefer not to say,Public,5000+,Senior Bioinfornatics Scientist,PhD or Equivalent,None,,5.0,150000.0,N/A (no overtime/salaried),Not Applicable/None,10000.0,,RSU and ESPP,,,Have not been long enough to have an annual yearly raise,30000.0,
2023-10-02 20:31:05.936000,United States,Houston,Industrial Biotech,Fujifilm,Public,1000-5000,QC Sample Receipt Analyst,Bachelors or Equivalent,None,Receive samples from manufacturing and shipping then store in fridges for further QC testing and studies.,1.0,46384.0,1.5x base,Not Applicable/None,Not Applicable/None,,,6% 401k match,,Have not been long enough to have an annual yearly raise,,"Great coworkers, benefits, product, and work culture, but terrible location away from any major city."
2023-10-18 14:16:30.126000,United States,"Portland, OR",Industrial Biotech,Thermo Fisher,Public,5000+,Staff Scientist,PhD or Equivalent,None,,7.0,120000.0,N/A (no overtime/salaried),18000.0,Not Applicable/None,0.0,"5% discount on max of 10% income, quarterly",0.05,"Decent, do not recall specics",4.0,,
2023-10-24 09:35:10.173000,United States,Boston,Industrial Biotech,Prefer not to say,Private,50-200,VP,PhD or Equivalent,MBA,,12.0,291000.0,N/A (no overtime/salaried),87000.0,Not Applicable/None,,,,,3.0,,
2023-10-26 23:40:06.822000,United States,San Diego,Industrial Biotech,Prefer not to say,Public,200-1000,Director of Product Management ,PhD or Equivalent,None,,13.0,190000.0,N/A (no overtime/salaried),38000.0,90000.0,,,3% match,,0.045,,
2023-10-26 23:48:16.882000,United States,San Diego,Industrial Biotech,Prefer not to say,Public,1-50,Laboratory Manager,Bachelors or Equivalent,None,,7.0,115000.0,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,,5000 shares,6% match ,Yes,Have not been long enough to have an annual yearly raise,,
2023-10-27 15:45:32.020000,United States,Bay Area ,Industrial Biotech,Prefer not to say,Start-up,1-50,Founding scientist ,PhD or Equivalent,None,Founding scientist combination wet lab and computational ,2.0,90000.0,N/A (no overtime/salaried),Not Applicable/None,0.625% annual (2.5% over 4 years),5000.0,,Gusto 401k,,Company/Institution does not have annual yearly raise,,
2023-10-27 18:08:51.146000,United States,Maryland/DC,Industrial Biotech,Prefer not to say,Public,200-1000,Associate Scientist 2,Bachelors or Equivalent,None,Biological Safety Testing ,3.0,63440.0,N/A (no overtime/salaried),5000.0,Not Applicable/None,0.0,n/a,6% 401k match ,HSA- 500$ employer adds ,Have not been long enough to have an annual yearly raise,,
2023-11-04 23:43:56.449000,United States,SF Bay Area ,Industrial Biotech,Prefer not to say,Private,200-1000,Research Associate II,Bachelors or Equivalent,None,,4.0,93000.0,N/A (no overtime/salaried),9300.0,Not Applicable/None,,,,,0.03,,
2023-11-05 17:02:21.775000,United States,Bay Area,Industrial Biotech,Prefer not to say,Private,1-50,Scientist I,PhD or Equivalent,None,,1.0,130000.0,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,5000.0,,,,Company/Institution does not have annual yearly raise,,
2023-11-07 07:36:14.635000,United States,Boston,Industrial Biotech,Prefer not to say,Private,50-200,Scientist,PhD or Equivalent,None,,1.0,115000.0,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,,,,,Company/Institution does not have annual yearly raise,5000.0,
2023-11-08 20:03:49.859000,United States,Boston,Industrial Biotech,Prefer not to say,Start-up,1-50,Senior Associate Scientist,Bachelors or Equivalent,None,"Process Development, mRNA Upstream Reaction and Downstream Purification",7.0,110000.0,N/A (no overtime/salaried),11000.0,"5,500 shares per year",0.0,,5% Match,,Company/Institution does not have annual yearly raise,,Stressful and disorganized
2023-11-09 19:36:01.531000,United States,Bay Area,Industrial Biotech,Thermo Fisher,Public,5000+,Product Manager,Bachelors or Equivalent,None,,6.0,125000.0,N/A (no overtime/salaried),10000.0,Not Applicable/None,,,,,0.03,,
2023-11-19 16:13:52.603000,United States,Boston,Industrial Biotech,Prefer not to say,Public,50-200,Manager - Quality,Bachelors or Equivalent,None,Internal Quality Operations Manager,7.0,155000.0,N/A (no overtime/salaried),23250.0,Not Applicable/None,,,,,Have not been long enough to have an annual yearly raise,,
2023-12-04 10:28:12.175000,United States,Boston,Industrial Biotech,Prefer not to say,Private,50-200,Director,PhD or Equivalent,None,R&D,11.0,205000.0,N/A (no overtime/salaried),41000.0,Not Applicable/None,,,,,0.03,,
2023-12-09 23:59:14.450000,United States,Boston,Industrial Biotech,Prefer not to say,Private,200-1000,Scientist,PhD or Equivalent,None,,0.0,113000.0,N/A (no overtime/salaried),11300.0,Not Applicable/None,0.0,0.0,401k 6% match,Low cost low deductible plan,Have not been long enough to have an annual yearly raise,,
2023-12-21 17:02:18.741000,United States,Chicago,Industrial Biotech,Tempus,Private,200-1000,Bioinformatics Analyst,Masters or Equivalent,None,R&D,7.0,95000.0,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,4000.0,Available,,HSA match,Have not been long enough to have an annual yearly raise,,Great to work for
2023-03-29 03:37:37.747000,United States ,Bay Area,Industrial Biotech,Prefer not to say,Start-up,1-50,Scientist II,Masters or Equivalent,None,,12.0,130000.0,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,,Own 0.5% company shares,,Kaiser HMO,Company/Institution does not have annual yearly raise,,
2023-03-29 10:51:30.015000,United States ,Salt Lake City,Industrial Biotech,Charles River Labs ,Public,5000+,Project Manager ,Bachelors or Equivalent,None,Project manager for biologics division. No direct reports.,2.0,80000.0,N/A (no overtime/salaried),2400.0,Not Applicable/None,0.0,There is a stock purchase plan,4% 401k match,$48/biweekly premium for single person. 2000 ded/4000 max oop. 90/10 coinsurance. HSA eligible ,Have not been long enough to have an annual yearly raise,0.0,"Just started, so N/A"
2023-10-02 00:50:28.897000,United States ,San Diego,Industrial Biotech,Prefer not to say,Public,200-1000,Director,PhD or Equivalent,None,,10.0,175000.0,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,0.0,,,,12.0,,
2023-12-21 18:56:13.696000,United States ,Boston ,Industrial Biotech,Prefer not to say,Private,200-1000,Research Associate I,Bachelors or Equivalent,None,,1.0,70000.0,N/A (no overtime/salaried),7000.0,Not Applicable/None,,,0.06,,Have not been long enough to have an annual yearly raise,,
2023-03-29 11:38:41.296000,United States - Florida,Boca Raton,Industrial Biotech,Prefer not to say,Private,1-50,Research associate,Bachelors or Equivalent,None,Research/ development of products and bioassays. Tech transfer into company/ find partners. Manage lab and inventory. Assist in customer inquiry and join client/partner meetings ,7.0,65000.0,N/A (no overtime/salaried),1000.0,Not Applicable/None,0.0,0.0,0.0,Healthcare premiums are paid completely,2-5%,,2/5 not enough support or development for career. I'm doing multiple people's jobs and leadership is lacking
2023-11-01 22:09:08.484000,United States of America ,Madison ,Industrial Biotech,Prefer not to say,Subsidiary,200-1000,Associate Scientist 1,Bachelors or Equivalent,None,Research and Development Scientist,3.0,56000.0,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,,,401k match up to 5%,"Health, dental, vision",Have not been long enough to have an annual yearly raise,,
2023-03-29 01:24:41.725000,US,DMV,Industrial Biotech,Prefer not to say,Public,1000-5000,Senior Associate Scientist,Bachelors or Equivalent,None,Senior Associate Scientist - Analytical Development LCMS,4.0,96000.0,N/A (no overtime/salaried),0.15,0.05,0.0,34000.0,4.5% 401k match no vest period,"FSA/HSA, Good benefits. Out of pocket is 0, total care cost is $176/mo.",0.045,0.0,
2023-04-11 21:09:32.136000,US,NYC,Industrial Biotech,Prefer not to say,Public,5000+,Associate Scientist,Masters or Equivalent,None,,2.0,81000.0,N/A (no overtime/salaried),0.08,15k,,,,,0.04,,
2023-05-05 20:52:52.593000,US,Columbus,Industrial Biotech,Twist Bioscience,Public,1000-5000,Staff Data Scientist,Bachelors or Equivalent,None,Lead small analytics team heading up machine learning projects and manufacturing optimization,11.0,217000.0,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,,,401k match,"FSA, HSA Blue Shield Blue Cross",Have not been long enough to have an annual yearly raise,0.0,"Great, relaxed place to work with ample autonomy and freedom to build software solutions."
2023-07-20 22:41:12.933000,US,San Diego,Industrial Biotech,Prefer not to say,Public,200-1000,Scientist I,Bachelors or Equivalent,None,,7.0,100000.0,N/A (no overtime/salaried),10000.0,Not Applicable/None,,,,,0.05,,
2023-03-29 02:29:53.609000,USA,Bay Area,Industrial Biotech,Prefer not to say,Start-up,1-50,Computational Biologist II,PhD or Equivalent,None,Data Scientist,1.0,130000.0,N/A (no overtime/salaried),13000.0,8000.0,0.0,,4.5% 401k,99% benefits paid by company,11.0,0.0,
2023-03-29 03:51:29.321000,USA,Philadelphia,Industrial Biotech,Century,Start-up,200-1000,Research associate,Masters or Equivalent,None,Research associate - in vivo pharmacology,5.0,102900.0,N/A (no overtime/salaried),0.1, 600 RSU,,2500 RSU,,95% match,0.08,,
2023-03-29 03:52:12.545000,USA,SF Bay Area,Industrial Biotech,Codexis,Public,50-200,Research Associate III,Bachelors or Equivalent,None,Mid-high level RA position under a scientist. Trained new RAs,4.0,98000.0,N/A (no overtime/salaried),9800.0,1000.0,5000.0,$3k-4k in stock options. 1/3 vest every year,4% match on 401k,,Have not been long enough to have an annual yearly raise,,"Great protein engineering company with amazing teams. Company has cycles of layoffs, and now is that time :("
2023-03-29 07:31:03.655000,USA,Boston,Industrial Biotech,Prefer not to say,Private,1000-5000,Sr. Research Associate,Bachelors or Equivalent,None,,3.0,95000.0,N/A (no overtime/salaried),15000.0,30000.0,,,5% 401k match,,0.06,,
2023-03-29 07:37:15.489000,USA,Boston,Industrial Biotech,Moderna,Public,1000-5000,Scientist,PhD or Equivalent,None,,1.0,131000.0,N/A (no overtime/salaried),20000.0,35000.0,10000.0,,,,5.0,10000.0,
2023-03-29 08:00:06.513000,USA,RTP,Industrial Biotech,Prefer not to say,Start-up,50-200,Sr. Scientist,PhD or Equivalent,None,Fermentation / microbiology,5.0,118000.0,N/A (no overtime/salaried),12000.0,Not Applicable/None,,,3% 401k match,,3.0,,
2023-03-29 09:09:45.657000,USA,Philadelphia,Industrial Biotech,Prefer not to say,Start-up,1-50,Sr. Scientist,PhD or Equivalent,None,R&D,11.0,145000.0,N/A (no overtime/salaried),0.13,Not Applicable/None,,,,,0.05,,
2023-03-29 11:30:53.527000,USA,Seattle,Industrial Biotech,Inventprise,Start-up,50-200,QC Analyst I,Bachelors or Equivalent,None,,2.0,62400.0,1.5x base,2200.0,Not Applicable/None,,,,,0.035,,
2023-03-29 14:47:24.754000,USA,Research Triangle ,Industrial Biotech,Bioagilytix ,Private,200-1000,Scientist,Bachelors or Equivalent,None,Develops/transfers/validates assays to characterize immunogenicity for client clinal/preclinical samples. Works with 3-4 contract based clients primarily with GLP/GCP ADA and PK studies. No direct reports. ,5.0,90000.0,N/A (no overtime/salaried),9000.0,Not Applicable/None,,NA,401k,"Standard medical, dental ",Have not been long enough to have an annual yearly raise,7500.0,Overall good place to build assay development experience. Quality of life depends a bit based on group/manager. Would recommend at the end of the day. 
2023-03-29 19:10:29.652000,USA,Boston,Industrial Biotech,Flagship Pioneering,Private,1-50,Sr. Scientist II,PhD or Equivalent,None,,5.0,161000.0,N/A (no overtime/salaried),20125.0,Not Applicable/None,15000.0,,,,0.04,,
2023-03-29 19:58:49.287000,USA,Bay Area,Industrial Biotech,Prefer not to say,Start-up,50-200,Product manager,Masters or Equivalent,None,,6.0,162000.0,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,,"Stock options, vest after year.",,,0.02,,
2023-03-29 19:58:52.889000,USA,Boston,Industrial Biotech,Prefer not to say,Public,50-200,Associate Director,PhD or Equivalent,None,,9.0,168000.0,N/A (no overtime/salaried),33600.0,Options - Variable,,Sign on and annual options at market value,,,4.0,,
2023-03-29 20:53:04.346000,USA,Boston,Industrial Biotech,Prefer not to say,Public,200-1000,Scientist,PhD or Equivalent,None,,0.0,137500.0,N/A (no overtime/salaried),20625.0,Not Applicable/None,0.0,,,,Have not been long enough to have an annual yearly raise,0.0,
2023-03-29 22:41:02.125000,USA,Boston,Industrial Biotech,Intellia therapeutics,Public,200-1000,Associate scientist,Bachelors or Equivalent,None,Immuno-oncology / cell therapy r&d,8.0,114000.0,N/A (no overtime/salaried),11000.0,52000.0,,"ISO, RSU",,,4.0,4000.0,
2023-03-29 23:58:12.849000,USA,Bay Area,Industrial Biotech,Prefer not to say,Start-up,50-200,Sr. Scientist,PhD or Equivalent,None,,5.0,136000.0,N/A (no overtime/salaried),15500.0,Not Applicable/None,,,,,6.5,,
2023-03-30 09:40:16.202000,USA,Seattle,Industrial Biotech,Prefer not to say,Start-up,1-50,Senior Research Associate,Bachelors or Equivalent,None,,4.0,100000.0,N/A (no overtime/salaried),10000.0,Not Applicable/None,,,,,Have not been long enough to have an annual yearly raise,,
2023-03-31 15:41:48.515000,USA,Boston,Industrial Biotech,Amgen,Public,5000+,Associate Scientist,Masters or Equivalent,None,,5.0,90500.0,1.5x base,0.1,3500.0,,,5% match plus extra 5% no matter what,,0.039,,
2023-03-31 15:56:34.882000,USA,Boston,Industrial Biotech,Amgen,Public,5000+,Associate,Bachelors or Equivalent,None,Upstream PD,1.0,75000.0,1.5x base,0.08,2500.0,,,100% first 5% and 5% extra for total 15%,,0.04,,Definitely one of the lower paying biotech's but a great learning environment 
2023-04-10 23:37:23.940000,USA,Boston,Industrial Biotech,Prefer not to say,Start-up,50-200,Senior Scientist,Masters or Equivalent,None,,11.0,180000.0,N/A (no overtime/salaried),25000.0,Options,10000.0,,,,7.0,,
2023-05-02 21:21:51.651000,Usa,San Diego ,Industrial Biotech,Prefer not to say,Private,5000+,Bioinformatics manager,Masters or Equivalent,None,,13.0,197600.0,N/A (no overtime/salaried),10.0,15000.0,0.0,,,,4.0,,
2023-05-19 19:28:59.513000,USA,Boston,Industrial Biotech,Prefer not to say,Start-up,50-200,Associate Scientist II,Bachelors or Equivalent,None,2D and 3D platform development ,1.0,92000.0,N/A (no overtime/salaried),5000.0,Not Applicable/None,5000.0,Can purchase 3000 shares per 4 years ,,,Have not been long enough to have an annual yearly raise,,
2023-05-20 17:11:59.127000,USA,Boston,Industrial Biotech,Prefer not to say,Start-up,50-200,Scientist II,Masters or Equivalent,None,Analytical Position managing one RA,14.0,125500.0,N/A (no overtime/salaried),12500.0,Not Applicable/None,,"17000 one year cliff, vesting 4 years","401k, no match",,3.0,,
2023-05-22 18:09:25.440000,USA,Boston,Industrial Biotech,Codiak Biosciences,Public,50-200,Senior Scientist,Masters or Equivalent,None,Downstream PD,12.0,178500.0,N/A (no overtime/salaried),0.175,~300 shares / yr,,,,,0.045,,
2023-05-28 18:07:16.628000,USA,Bay Area,Industrial Biotech,Prefer not to say,Start-up,50-200,Staff Scientist,PhD or Equivalent,None,"Staff Scientist, Computational Biology",6.0,188000.0,N/A (no overtime/salaried),0.1,Not Applicable/None,,Roughly 0.1% of the value of the company as one of the first 20 employees,401K match,"Free health insurance, HSA, etc",0.05,,It has been a fantastic experience
2023-05-30 21:18:06.430000,USA,Bay Area,Industrial Biotech,Prefer not to say,Subsidiary,50-200,Associate Scientist ,PhD or Equivalent,None,,1.0,120000.0,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,,,"401k match 6%, corporate goal bonus 10% salary",,Have not been long enough to have an annual yearly raise,,
2023-05-31 02:27:32.546000,USA,Los Angeles,Industrial Biotech,Amgen,Private,5000+,Scientist,PhD or Equivalent,None,"Sr Scientist, analytical development for new drugs",8.0,120000.0,N/A (no overtime/salaried),Not Applicable/None,10000.0,,,,,2.0,,
2023-06-14 13:05:11.957000,USA,Remote,Industrial Biotech,Prefer not to say,Public,1000-5000,Swnior engineer,Bachelors or Equivalent,None,Senior bioprocess engineer MSAT,9.0,130000.0,N/A (no overtime/salaried),19500.0,Not Applicable/None,20000.0,,4% match ,,Have not been long enough to have an annual yearly raise,,
2023-06-19 23:45:20.844000,USA,Bay Area,Industrial Biotech,Prefer not to say,Private,50-200,Scientist,Bachelors or Equivalent,None,,12.0,198000.0,1.5x base,Not Applicable/None,Not Applicable/None,,,,,Have not been long enough to have an annual yearly raise,,
2023-07-03 12:13:04.668000,USA,San Diego,Industrial Biotech,Prefer not to say,Start-up,1-50,Associate Director,PhD or Equivalent,None,Manage technical operation/CMC,7.0,180000.0,N/A (no overtime/salaried),27000.0,Not Applicable/None,0.0,,,,Have not been long enough to have an annual yearly raise,,
2023-07-08 22:37:43.835000,USA,Salt Lake City,Industrial Biotech,Recursion,Public,200-1000,Senior Scientist II,PhD or Equivalent,None,"Coordinate cross-functional team work, manage 3 junior scientists",4.0,140000.0,N/A (no overtime/salaried),"14,000-35,000",65000.0,10000.0,ESPP,401k: 4% match + 1500/yr,"Medical/dental/vision fully covered, good coverage",Company/Institution does not have annual yearly raise,,9/10
2023-07-26 01:46:51.211000,USA,Bay Area,Industrial Biotech,Prefer not to say,Public,200-1000,Scientist III,PhD or Equivalent,None,,2.0,150000.0,N/A (no overtime/salaried),18000.0,1500.0,20000.0,RSU & Options,Up to $5K match for 401k,,5.0,,
2023-08-12 10:50:44.775000,Usa,Bay Area,Industrial Biotech,Myriad Genetics,Public,1000-5000,Scientist,Masters or Equivalent,None,Manufacturing,3.0,80000.0,10 hours OT a week,3000.0,Not Applicable/None,300.0,15% discounted stock,4% match 401k,$180/month single BCBS Copay plan,Company/Institution does not have annual yearly raise,,
2023-08-19 23:36:10.451000,USA,Research Triangle,Industrial Biotech,Novozymes,Public,5000+,Scientist,PhD or Equivalent,None,,4.0,105000.0,N/A (no overtime/salaried),5000.0,Not Applicable/None,5000.0,,401k match 9% total,good healthcare,Have not been long enough to have an annual yearly raise,,
2023-09-05 23:02:42.631000,USA,philadelphia ,Industrial Biotech,Frontage Labs,Public,1000-5000,Scientist 1,Masters or Equivalent,None,,1.0,60000.0,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,,,0.06,,Have not been long enough to have an annual yearly raise,,bad
2023-09-21 10:33:09.175000,USA,Boston,Industrial Biotech,Prefer not to say,Start-up,1-50,Research Associate II,Bachelors or Equivalent,None,,2.0,77000.0,N/A (no overtime/salaried),2000.0,Not Applicable/None,3000.0,25% vesting a year,,,0.08,,
2023-09-28 23:10:28.897000,USA,Bay Area,Industrial Biotech,Prefer not to say,Public,200-1000,Scientist I,PhD or Equivalent,None,"R&D, fresh PhD",0.0,130000.0,N/A (no overtime/salaried),0.12,Not Applicable/None,2000.0,"RSU, stock options, ESPP","50% match up to $7,000",Full,Have not been long enough to have an annual yearly raise,15000.0,
2023-10-08 11:05:08.086000,USA,San Diego,Industrial Biotech,Prefer not to say,Private,1000-5000,Scientist II,PhD or Equivalent,None,Product Development GMP ,6.0,110000.0,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,5000.0,5% discount,,,Have not been long enough to have an annual yearly raise,,
2023-10-09 01:11:32.564000,usa,bay area,Industrial Biotech,Prefer not to say,Private,200-1000,senior research associate,Bachelors or Equivalent,None,,3.0,90000.0,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,,,,,Have not been long enough to have an annual yearly raise,,
2023-10-11 20:00:06.133000,USA,San Francisco,Industrial Biotech,Huue Bio,Start-up,1-50,"Senior Manager, Strategy and Operations",Masters or Equivalent,None,"Acted as Chief of Staff for CEO in company of 20 people; managed product strategy, marketing, business operations and strategic initiatives. ",6.0,150000.0,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,0.0,"Got 0.15% of stock, approx 85K shares",401K available,,Have not been long enough to have an annual yearly raise,,
2023-10-12 21:55:18.029000,USA,Cleveland,Industrial Biotech,Prefer not to say,Start-up,1-50,Biomanufacturing Lab tech,Bachelors or Equivalent,None,Cell culture + Qc Lab tech in Design Transfer,0.0,42000.0,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,0.0,none,4.5% 401k match,85% employer cover,Have not been long enough to have an annual yearly raise,0.0,"Executives are not great but the people you see on a daily basis are amazing. This means that you will have a fun time working, and doing day-to-day stuff but will be unhappy with the compensation and the appreciation the management shows will be a problem. Thes management is also unwilling to recognize that the employment does not pay enough as well as puts more pressure on the already insufficient staff"
2023-10-22 14:24:42.791000,USA,Bay Area,Industrial Biotech,Bio-Rad Laboratories,Private,5000+,QC Specialist III,Bachelors or Equivalent,None,,10.0,80000.0,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,0.0,,,,Company/Institution does not have annual yearly raise,,
2023-10-24 20:11:04.883000,USA,Boston,Industrial Biotech,Prefer not to say,Start-up,1-50,Principal Research Associate,Bachelors or Equivalent,None,,6.0,115000.0,N/A (no overtime/salaried),0.1,Not Applicable/None,,,,,0.07,,
2023-10-27 08:05:44.212000,USA,Bay Area,Industrial Biotech,Prefer not to say,Public,200-1000,Scientist II,PhD or Equivalent,None,,6.0,151000.0,N/A (no overtime/salaried),0.2,Not Applicable/None,10000.0,,3% match,,0.03,,
2023-10-27 09:29:31.854000,USA,Research Triangle ,Industrial Biotech,Bioagilytix,Private,200-1000,Scientist ,Bachelors or Equivalent,None,"Scientist- responsible for assay development, Validation, and sample analysis testing for ADA and PK studies. Interfaces with sponsors on weekly calls, but no direct reports. ",5.0,94000.0,N/A (no overtime/salaried),9000.0,Not Applicable/None,,NA,4% match 401k,Blue cross blue shield NC; PPO spouse+ind less than 200/Mo. quite good coverage: ,3.0,7500.0,"3/5, culture has worsened over the past year with new upper management. Individual managers vary greatly impacting how pleasant it is to work there. "
2023-10-27 18:09:27.312000,USA,Los Angeles,Industrial Biotech,Invizyne,Start-up,1-50,Research Associate II,Masters or Equivalent,None,Testing proof-of-concept of biochemical assays for production of proteins and chemicals using renewable resources,1.0,67500.0,N/A (no overtime/salaried),Not Applicable/None,1000.0,2500.0,Purchase options,4% match,Full health insurance coverage with many options,Have not been long enough to have an annual yearly raise,2500.0,
2023-10-30 10:18:24.003000,USA,Miami,Industrial Biotech,Prefer not to say,Public,200-1000,Associate Director,Bachelors or Equivalent,None,"Patient Recruitment, Clinical Operations",10.0,177000.0,N/A (no overtime/salaried),0.2,15500.0,8000.0,,"401k match up to $6,000",BCBS with high deductible. $2500 annual contribution to HSA,Have not been long enough to have an annual yearly raise,,
2023-12-10 20:31:13.318000,usa,great lakes / Midwest,Industrial Biotech,Prefer not to say,Start-up,1-50,Senior Production chemist,Associate’s Degree or Equivalent,None,,7.0,65400.0,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,,,,"Premium-free HMO health insurance, low-deductible",Company/Institution does not have annual yearly raise,,
2023-12-13 20:36:34.902000,USA,Boston,Industrial Biotech,Abbvie,Private,5000+,Postdoc,PhD or Equivalent,None,,1.0,90000.0,N/A (no overtime/salaried),0.08,Not Applicable/None,15000.0,,,,Have not been long enough to have an annual yearly raise,,
2023-03-30 09:48:22.634000,USA ,Boston ,Industrial Biotech,Prefer not to say,Private,50-200,Scientist,Masters or Equivalent,None,Bench scientist ,8.0,138000.0,N/A (no overtime/salaried),0.1,Not Applicable/None,,None. Private company ,10% 401k match vested over 4 years,90% coverage of PPO premium ,Have not been long enough to have an annual yearly raise,,
2023-04-06 09:06:28.703000,USA ,Philadelphia,Industrial Biotech,Prefer not to say,Start-up,1-50,Scientist,PhD or Equivalent,None,R&D scientist - cell therapy,2.0,120000.0,N/A (no overtime/salaried),24000.0,Not Applicable/None,,,,,Have not been long enough to have an annual yearly raise,,
