timestamp,where_is_the_closest_major_city_or_hub,biotech_sub_industry,company_or_institution_name,company_details_publicprivatestartup_subsidiary_of,company_detail_approximate_company_size,role_title_of_current_position,highest_achieved_formal_education,years_of_experience,compensation_annual_base_salarypay,compensation_annual_target_bonus,compensation_annual_equity,compensation_sign_on_bonus_value,sign_on_relocation_assistance_total_value,what_country_do_you_work_in,compensation_overtime_pay,company_review,briefly_describe_your_position,list_other_relevant_and_recognized_certifications,compensation_retirement_benefits,compensation_healthcare_benefits,compensation_stock_options,compensation_most_recent_annual_yearly_raise,compensation_options,have_you_one_a_postdoc
2022-05-09 15:09:14.799000,Los Angeles,Pharmaceutical (including “big pharma”),,Public,5000+,Associate Validation Engineer ,Bachelors or Equivalent,0.0,73100.0,5600.0,2000.0,,,,,,,,,,,,,
2022-05-09 15:24:52.075000,"Cambridge, MA",Pharmaceutical (including “big pharma”),,Public,5000+,Research Scientist II,Masters or Equivalent,1.0,87000.0,0.07,Not Applicable/None,10000.0,,,,,,,,,,,,
2022-05-09 16:49:03.912000,Pittsburgh ,Pharmaceutical (including “big pharma”),,Start-up,1-50,Research Scientist ,PhD or Equivalent,3.0,95000.0,Not Applicable/None,Not Applicable/None,,15000.0,,,,,,,,,,,
2022-05-09 18:12:18.252000,RDU,Vendor,Sartorius,Public,1000-5000,Field Application Specialist,Bachelors or Equivalent,8.0,107000.0,15000.0,Not Applicable/None,15000.0,,,,,,,,,,,,
2022-05-09 20:45:52.953000,Bay Area,Agriculture/Food,,Start-up,50-200,Research Associate 2,Bachelors or Equivalent,2.0,100000.0,Not Applicable/None,10000.0,,,,,,,,,,,,,
2022-05-09 21:12:51.730000,Bay Area ,Pharmaceutical (including “big pharma”),,Private,50-200,Production Associate ,Bachelors or Equivalent,3.0,90000.0,16000.0,Not Applicable/None,,,,,,,,,,,,,
2022-05-09 23:50:05.038000,Colorado,Academia/Research,,Start-up,1-50,Research Associate III,Bachelors or Equivalent,5.0,63840.0,Not Applicable/None,Not Applicable/None,,2000.0,,,,,,,,,,,
2022-05-10 00:13:58.044000,Bay Area,Pharmaceutical (including “big pharma”),,Private,50-200,Senior Research Associate,Bachelors or Equivalent,5.0,115000.0,17250.0,Not Applicable/None,,,,,,,,,,,,,
2022-05-10 03:02:47.489000,RTP NC,Biotech,,Private,1-50,Research Associate ,Masters or Equivalent,1.0,50000.0,2500.0,Not Applicable/None,3000.0,,,,,,,,,,,,
2022-05-10 05:14:59.115000,"Sacramento, CA",Medical Devices,,Subsidiary,1-50,Associate Scientist,PhD or Equivalent,1.0,65000.0,Not Applicable/None,Not Applicable/None,,,,,,,,,,,,,
2022-05-10 07:02:47.768000,"Durham, NC",Agriculture/Food,,Start-up,1-50,Scientist,PhD or Equivalent,4.0,85000.0,8500.0,Not Applicable/None,,,,,,,,,,,,,
2022-05-10 09:47:39.561000,"San Diego, CA",Medical Devices,Singular Genomics ,Public,50-200,Systems Engineer ,Bachelors or Equivalent,4.0,115000.0,10000.0,Not Applicable/None,,,,,,,,,,,,,
2022-05-10 10:03:52.531000,New York,Pharmaceutical (including “big pharma”),,Start-up,50-200,Senior Scientist,PhD or Equivalent,6.0,131000.0,10000.0,5000.0,10000.0,3000.0,,,,,,,,,,,
2022-05-10 10:33:07.293000,SoCal,Pharmaceutical (including “big pharma”),Janssen,Public,5000+,Scientist,PhD or Equivalent,0.0,121000.0,14000.0,Not Applicable/None,,,,,,,,,,,,,
2022-05-10 12:18:54.643000,Bay Area ,Pharmaceutical (including “big pharma”),,Public,50-200,Research Associate 2,Masters or Equivalent,3.0,90000.0,9000.0,5000.0,2500.0,,,,,,,,,,,,
2022-05-10 12:39:55.889000,Boston,Pharmaceutical (including “big pharma”),,Start-up,50-200,Sr. Research Associate,Masters or Equivalent,2.0,90000.0,9000.0,625.0,8500.0,,,,,,,,,,,,
2022-05-10 16:17:50.620000,Waco,Pharmaceutical (including “big pharma”),AbbVie,Public,5000+,Microbiology Lab Technician 4,Bachelors or Equivalent,3.0,63771.0,0.1,Not Applicable/None,,,,,,,,,,,,,
2022-05-10 17:51:16.933000,Boston,Pharmaceutical (including “big pharma”),,Private,1-50,Scientist II,PhD or Equivalent,3.0,130000.0,13000.0,Not Applicable/None,0.0,0.0,,,,,,,,,,,
2022-05-10 21:24:15.533000,Bay Area,Pharmaceutical (including “big pharma”),Gilead,Public,5000+,Clinical Trials Manager,Bachelors or Equivalent,6.0,160000.0,19200.0,8000.0,,,,,,,,,,,,,
2022-05-10 22:00:55.726000,Bay Area,Biotech Software/SAAS,Dotmatics,Private,200-1000,Product Manager,PhD or Equivalent,4.0,152000.0,15000.0,50k,0.0,0.0,,,,,,,,,,,
2022-05-11 00:45:55.890000,HOUSTON,Pharmaceutical (including “big pharma”),It is a CDMO,Public,200-1000,Scientist I,Masters or Equivalent,6.0,90000.0,Not Applicable/None,Not Applicable/None,,,,,,,,,,,,,
2022-05-11 02:50:33.878000,Seattle,Pharmaceutical (including “big pharma”),,Start-up,50-200,Research Associate,Bachelors or Equivalent,3.0,95000.0,0.1,Not Applicable/None,,,,,,,,,,,,,
2022-05-11 11:08:06.967000,Boston,Pharmaceutical (including “big pharma”),,Public,50-200,Associate Scientist ,Bachelors or Equivalent,1.0,80000.0,5500.0,3750.0,5000.0,0.0,,,,,,,,,,,
2022-05-11 16:08:48.086000,Bay Area,Industrial biotech,,Start-up,1-50,Director,PhD or Equivalent,16.0,220000.0,0.2,Not Applicable/None,33000.0,,,,,,,,,,,,
2022-05-11 16:10:04.812000,Bay Area,Industrial biotech,,Start-up,1-50,Principal Scientist ,PhD or Equivalent,16.0,165000.0,Not Applicable/None,Not Applicable/None,10000.0,,,,,,,,,,,,
2022-05-11 18:07:36.924000,Toronto,Pharmaceutical (including “big pharma”),Benchsci,Private,200-1000,Science,PhD or Equivalent,5.0,75000.0,Not Applicable/None,Not Applicable/None,,,,,,,,,,,,,
2022-05-11 21:01:20.288000,Boston,Pharmaceutical (including “big pharma”),,Public,5000+,Sr. Scientist 1,Masters or Equivalent,7.0,115000.0,11000.0,Not Applicable/None,,,,,,,,,,,,,
2022-05-11 21:44:32.396000,Boston ,Pharmaceutical (including “big pharma”),,Public,5000+,Scientist II,PhD or Equivalent,3.0,150000.0,30000.0,35000.0,,,,,,,,,,,,,
2022-05-11 23:54:37.195000,Boston,Pharmaceutical (including “big pharma”),,Public,1000-5000,Principal scientist ,PhD or Equivalent,12.0,180000.0,36000.0,45000.0,50000.0,100000.0,,,,,,,,,,,
2022-05-12 05:27:59.566000,San Francisco,Medical Devices,Twist Bioscience,Start-up,200-1000,Manufacturing Associate,Associate’s Degree or Equivalent,0.0,66000.0,Not Applicable/None,6000.0,2000.0,,,,,,,,,,,,
2022-05-12 10:23:12.369000,Boston,Gene Therapy,,Private,50-200,Senior Research Associate,Bachelors or Equivalent,4.0,90500.0,2000.0,Not Applicable/None,3000.0,0.0,,,,,,,,,,,
2022-05-12 10:32:00.095000,Thousand Oaks,Pharmaceutical (including “big pharma”),,Private,5000+,PD Senior Associate,Bachelors or Equivalent,6.0,80293.0,10% based on salary and review,Not Applicable/None,,,,,,,,,,,,,
2022-05-12 17:54:36.126000,Bay Area,Pharmaceutical (including “big pharma”),,Start-up,1-50,Scientist III,PhD or Equivalent,6.0,150000.0,12000.0,Not Applicable/None,5000.0,,,,,,,,,,,,
2022-05-12 19:15:09.364000,RTP North Carolina,Pharmaceutical (including “big pharma”),Cambrex,Private,200-1000,Scientist 1,PhD or Equivalent,1.0,79560.0,2.0,Not Applicable/None,,,,,,,,,,,,,
2022-05-12 20:20:18.458000,"RTP/Raleigh, NC",Pharmaceutical (including “big pharma”),,Public,200-1000,Manufacturing Associate ,Bachelors or Equivalent,1.0,52000.0,0.08,Not Applicable/None,,,,,,,,,,,,,
2022-05-12 21:21:43.396000,"Rockville, MD",Pharmaceutical (including “big pharma”),GSK,Public,5000+,Associate Scientist,Bachelors or Equivalent,3.0,77500.0,6200.0,Not Applicable/None,,,,,,,,,,,,,
2022-05-13 03:13:21.225000,San Diego,Pharmaceutical (including “big pharma”),,Public,5000+,Sr. Associate II,Bachelors or Equivalent,5.0,115000.0,11500.0,4000.0,,,,,,,,,,,,,
2022-05-13 09:51:34.055000,Bay Area,Diagnostics ,,Public,1000-5000,Scientist II ,PhD or Equivalent,2.0,155000.0,13500.0,7000.0,15000.0,,,,,,,,,,,,
2022-05-13 10:22:36.740000,"Halifax, Nova Scotia",Pharmaceutical (including “big pharma”),,Private,200-1000,Senior Analytical Chemist,Masters or Equivalent,9.0,74000.0,Not Applicable/None,Not Applicable/None,0.0,1000.0,,,,,,,,,,,
2022-05-13 10:47:02.592000,Rockville,Medical Devices,Tetracore,Private,50-200,Mechanical Engineer,Bachelors or Equivalent,2.0,78600.0,2000.0,Not Applicable/None,,,,,,,,,,,,,
2022-05-14 02:29:50.824000,Bay Area,Medical Devices,,Private,50-200,Research Associate 1,Bachelors or Equivalent,1.0,67000.0,Not Applicable/None,4000.0,0.0,0.0,,,,,,,,,,,
2022-05-14 12:37:31.187000,Boston,Pharmaceutical (including “big pharma”),,Public,5000+,Scientist,Bachelors or Equivalent,5.0,107000.0,10700.0,10700.0,,,,,,,,,,,,,
2022-05-14 14:10:24.738000,Waltham,Pharmaceutical (including “big pharma”),Sanofi,Private,5000+,Sr. Research Associate,Masters or Equivalent,0.0,85000.0,8500.0,Not Applicable/None,,,,,,,,,,,,,
2022-05-14 20:49:09.005000,SF Bay Area,Pharmaceutical (including “big pharma”),,Public,200-1000,Associate Director,PhD or Equivalent,10.0,200000.0,40000.0,45000.0,10000.0,,,,,,,,,,,,
2022-05-14 20:50:21.182000,San Diego,Pharmaceutical (including “big pharma”),,Start-up,1-50,Director,PhD or Equivalent,10.0,220000.0,49500.0,Not Applicable/None,15000.0,,,,,,,,,,,,
2022-05-15 04:06:20.591000,Los Angeles,Pharmaceutical (including “big pharma”),Takeda,Public,5000+,Quality Analyst I,Bachelors or Equivalent,3.0,62000.0,Not Applicable/None,Not Applicable/None,,,,,,,,,,,,,
2022-05-15 15:06:04.156000,Boston,Pharmaceutical (including “big pharma”),,Private,50-200,Scientist I,PhD or Equivalent,0.0,130000.0,13000.0,Monopoly money,,,,,,,,,,,,,
2022-05-15 15:48:13.255000,Bay area,Academia/Research,,Start-up,50-200,Research Associate ,Masters or Equivalent,2.0,85000.0,Not Applicable/None,Not Applicable/None,,,,,,,,,,,,,
2022-05-15 22:10:31.098000,Philadelphia Metro Area,Pharmaceutical (including “big pharma”),,Private,50-200,Research Associate I,Bachelors or Equivalent,0.0,49000.0,Not Applicable/None,Not Applicable/None,,,,,,,,,,,,,
2022-05-16 09:01:45.213000,Bay Area ,Medical Devices,,Start-up,50-200,Scientist,PhD or Equivalent,0.0,130000.0,Not Applicable/None,Not Applicable/None,,8000.0,,,,,,,,,,,
2022-05-16 11:46:53.125000,Switzerland,Pharmaceutical (including “big pharma”),,Public,5000+,Director,Masters or Equivalent,5.0,200000.0,0.2,Not Applicable/None,,30000.0,,,,,,,,,,,
2022-05-16 15:54:34.437000,RTP,Biotech,,Private,50-200,Research Associate I,Masters or Equivalent,1.0,50000.0,"varies >$2,000",Not Applicable/None,3000.0,,,,,,,,,,,,
2022-05-16 17:41:48.874000,Boston,Pharmaceutical (including “big pharma”),,Private,50-200,QC Sr Manager,Bachelors or Equivalent,11.0,140000.0,21000.0,Not Applicable/None,,,,,,,,,,,,,
2022-05-16 17:59:47.409000,Boston,Pharmaceutical (including “big pharma”),,Public,50-200,Senior Manager,Masters or Equivalent,9.0,130000.0,24000.0,10000.0,,,,,,,,,,,,,
2022-05-16 19:01:40.322000,Philadelphia ,Pharmaceutical (including “big pharma”),,Start-up,50-200,Senior Associate Scientist ,Bachelors or Equivalent,6.0,85000.0,8500.0,Not Applicable/None,,,,,,,,,,,,,
2022-05-17 10:53:06.101000,"Hayward, CA",Pharmaceutical (including “big pharma”),,Public,200-1000,Scientist,PhD or Equivalent,0.0,145000.0,14500.0,Not Applicable/None,10000.0,10000.0,,,,,,,,,,,
2022-05-17 11:47:34.246000,Phoenix,Pharmaceutical (including “big pharma”),,Private,1000-5000,Associate Scientist II,PhD or Equivalent,0.0,107000.0,5300.0,Not Applicable/None,,,,,,,,,,,,,
2022-05-17 13:25:41.942000,"Ridgefield, CT",Pharmaceutical (including “big pharma”),,Private,5000+,Sr. Scientist,PhD or Equivalent,3.0,120000.0,Not Applicable/None,Not Applicable/None,0.0,3000.0,,,,,,,,,,,
2022-05-17 14:09:25.734000,Bay Area ,Academia/Research,,Public,50-200,Sr. Scientist,Masters or Equivalent,7.0,120000.0,12000.0,Not Applicable/None,,,,,,,,,,,,,
2022-05-17 18:00:12.545000,Cambridge ,Pharmaceutical (including “big pharma”),,Public,50-200,Research associate II,Masters or Equivalent,0.0,80000.0,2400.0,5000.0,0.0,0.0,,,,,,,,,,,
2022-05-17 22:23:39.899000,Greater Boston ,Pharmaceutical (including “big pharma”),,Public,5000+,Scientist,Bachelors or Equivalent,8.0,84500.0,5000.0,Not Applicable/None,,,,,,,,,,,,,
2022-05-17 22:59:11.178000,Boston,Pharmaceutical (including “big pharma”),,Public,1000-5000,Sr scientist,PhD or Equivalent,3.0,150000.0,27000.0,25000.0,,,,,,,,,,,,,
2022-05-18 16:55:51.871000,Georgia,Pharmaceutical (including “big pharma”),,Public,1000-5000,Regulatory Affairs,PhD or Equivalent,8.0,138000.0,20000.0,20000.0,,,,,,,,,,,,,
2022-05-19 12:45:30.122000,Munich ,Hematology,,Private,200-1000,Technical assistant,Associate’s Degree or Equivalent,0.0,44200.0,Not Applicable/None,Not Applicable/None,,,,,,,,,,,,,
2022-05-19 22:29:48.411000,Boston,Pharmaceutical (including “big pharma”),Pfizer ,Public,5000+,Scientist ,Bachelors or Equivalent,6.0,93500.0,7500.0,Not Applicable/None,0.0,0.0,,,,,,,,,,,
2022-05-20 17:56:47.971000,Chicago,Industrial Fermentation (CO2 gas fermentation),LanzaTech,Private,200-1000,Scientist,PhD or Equivalent,1.0,115000.0,11500.0,Not Applicable/None,10000.0,,,,,,,,,,,,
2022-05-20 22:34:03.606000,San Diego,Pharmaceutical (including “big pharma”),,Private,5000+,Principal Scientist I,PhD or Equivalent,2.0,125000.0,18500.0,Not Applicable/None,,,,,,,,,,,,,
2022-05-21 12:11:46.729000,"Gaithersburg, Maryland ",Pharmaceutical (including “big pharma”),Catalent ,Public,5000+,Manufacturing Associate 1,Bachelors or Equivalent,0.0,62500.0,Not Applicable/None,Not Applicable/None,,,,,,,,,,,,,
2022-05-21 21:42:08.627000,"Baltimore, MD",Academia/Research,,Private,1000-5000,Biosignals Engineer,Masters or Equivalent,1.0,84000.0,Not Applicable/None,Not Applicable/None,4000.0,,,,,,,,,,,,
2022-05-21 23:22:03.827000,Bay Area,Pharmaceutical (including “big pharma”),,Start-up,50-200,Senior Research Associate ,Masters or Equivalent,4.0,101000.0,7000.0,7000.0,10000.0,0.0,,,,,,,,,,,
2022-05-23 12:16:59.406000,San Diego,Medical Devices,,Public,200-1000,Clinical Scientist ,M.D./PharmD/D.D.S. or Equivalent,2.0,103000.0,10300.0,Not Applicable/None,5000.0,0.0,,,,,,,,,,,
2022-05-23 18:39:23.359000,Boston,Pharmaceutical (including “big pharma”),,Public,200-1000,"Associate Director, Commercial",PhD or Equivalent,5.0,180000.0,36000.0,2000.0,,,,,,,,,,,,,
2022-05-24 00:17:38.882000,Bay Area,Biotech ,,Start-up,1-50,Senior Researcher ,PhD or Equivalent,0.0,95000.0,Not Applicable/None,Will Start offering after a few months ,,10000.0,,,,,,,,,,,
2022-05-24 14:13:56.578000,Boston,Pharmaceutical (including “big pharma”),Ultragenyx ,Public,200-1000,Research associate I,Bachelors or Equivalent,0.0,80000.0,Not Applicable/None,Not Applicable/None,,,,,,,,,,,,,
2022-05-24 20:47:23.835000,San Diego,Pharmaceutical (including “big pharma”),,Private,50-200,Research Associate I,Bachelors or Equivalent,1.0,75000.0,Not Applicable/None,2000.0,,,,,,,,,,,,,
2022-05-25 11:39:25.592000,San Diego,Pharmaceutical (including “big pharma”),,Start-up,50-200,Scientist I,PhD or Equivalent,0.0,120000.0,12000.0,options,7000.0,20000.0,,,,,,,,,,,
2022-05-25 13:12:42.431000,New Jersey ,Pharmaceutical (including “big pharma”),,Public,5000+,Associate principal scientist ,PhD or Equivalent,6.0,136000.0,21000.0,Not Applicable/None,,,,,,,,,,,,,
2022-05-25 22:34:06.623000,Bay Area,Pharmaceutical (including “big pharma”),,Public,50-200,Senior Research Associate I,Bachelors or Equivalent,4.0,102000.0,8160.0,10000.0,6000.0,,,,,,,,,,,,
2022-05-26 15:20:55.372000,Bay Area ,Pharmaceutical (including “big pharma”),,Start-up,50-200,Sr. Scientist 2,PhD or Equivalent,7.0,170000.0,29750.0,Not Applicable/None,,,,,,,,,,,,,
2022-05-26 19:21:20.495000,Seattle WA,Life Science tools,,Public,200-1000,Manufacturing Research Associate I I,Bachelors or Equivalent,2.0,59500.0,2000.0,10000.0,,,,,,,,,,,,,
2022-05-26 19:29:38.882000,Boston,Pharmaceutical (including “big pharma”),,Public,1000-5000,QA Analyst,Bachelors or Equivalent,2.0,105000.0,0.12,25k,20000.0,10000.0,,,,,,,,,,,
2022-05-26 21:33:27.110000,San Francisco ,Pharmaceutical (including “big pharma”),Roche,Public,5000+,System support engineer,Bachelors or Equivalent,6.0,93000.0,4600.0,Not Applicable/None,,,,,,,,,,,,,
2022-05-27 18:44:45.633000,Cambridge Massachusetts ,Pharmaceutical (including “big pharma”),Pfizer ,Public,5000+,Scientist ,Bachelors or Equivalent,6.0,94000.0,7000.0,Not Applicable/None,0.0,0.0,,,,,,,,,,,
2022-05-28 14:03:39.403000,Houston,Pharmaceutical (including “big pharma”),,Public,5000+,Core Technician,Masters or Equivalent,0.0,49400.0,Not Applicable/None,Not Applicable/None,,,,,,,,,,,,,
2022-05-28 16:38:43.212000,South San Francisco ,Academia/Research,,Start-up,1-50,Research associate ,Bachelors or Equivalent,1.0,63500.0,Not Applicable/None,Not Applicable/None,0.0,0.0,,,,,,,,,,,
2022-05-28 17:26:13.795000,Boston MA ,Pharmaceutical (including “big pharma”),,Private,1-50,Senior Scientist,Masters or Equivalent,19.0,143000.0,20000.0,Not Applicable/None,5000.0,,,,,,,,,,,,
2022-05-28 19:39:46.165000,Raleigh,Pharmaceutical (including “big pharma”),,Start-up,50-200,Sr Scientist,PhD or Equivalent,3.0,120000.0,12000.0,Not Applicable/None,,,,,,,,,,,,,
2022-05-30 10:21:24.239000,San Diego,Pharmaceutical (including “big pharma”),,Public,5000+,Sr. Scientist,PhD or Equivalent,7.0,145000.0,25000.0,30000.0,,,,,,,,,,,,,
2022-05-30 22:54:41.146000,Boston,Pharmaceutical (including “big pharma”),,Public,1000-5000,Manufacturing associate II,Bachelors or Equivalent,3.0,7550.0,5000.0,15000.0,,,,,,,,,,,,,
2022-05-31 02:22:29.416000,"San Diego, CA",Pharmaceutical (including “big pharma”),,Start-up,50-200,Director,PhD or Equivalent,19.0,200000.0,40000.0,Not Applicable/None,10000.0,,,,,,,,,,,,
2022-05-31 04:21:29.063000,San Francisco,Pharmaceutical (including “big pharma”),,Public,50-200,Research Associate II,Bachelors or Equivalent,4.0,102000.0,10200.0,2600 Options ,,,,,,,,,,,,,
2022-05-31 08:49:05.765000,Boston,Cosmetics,Manus bio,Private,50-200,Scientist,PhD or Equivalent,0.0,103000.0,Not Applicable/None,25000.0,,3000.0,,,,,,,,,,,
2022-05-31 12:10:36.666000,Bay Area,Pharmaceutical (including “big pharma”),,Start-up,50-200,Scientist II,PhD or Equivalent,3.0,132000.0,Not Applicable/None,Not Applicable/None,,6000.0,,,,,,,,,,,
2022-05-31 17:19:29.346000,"Houston,TX",Academia/Research,,Start-up,50-200,Scientific Development Program Associate,Bachelors or Equivalent,1.0,65000.0,6800.0,73000.0,,,,,,,,,,,,,
2022-05-31 19:57:35.407000,nj,Pharmaceutical (including “big pharma”),,Private,5000+,qa,Bachelors or Equivalent,6.0,110000.0,15000.0,Not Applicable/None,,,,,,,,,,,,,
2022-05-31 21:58:13.918000,Montreal,Academia/Research,McGill University ,Academia/College/Universities,5000+,Research Technician ,Associate’s Degree or Equivalent,3.0,46592.0,Not Applicable/None,Not Applicable/None,,,,,,,,,,,,,
2022-06-01 17:23:22.712000,DC,Pharmaceutical (including “big pharma”),,Public,1000-5000,Director,Bachelors or Equivalent,17.0,240000.0,50000.0,130000.0,,,,,,,,,,,,,
2022-06-02 12:52:27.595000,Boston,Pharmaceutical (including “big pharma”),,Public,5000+,Senior Research Associate,Masters or Equivalent,0.0,90000.0,9000.0,Not Applicable/None,,7500.0,,,,,,,,,,,
2022-06-02 14:45:03.805000,"Boston, MA",Pharmaceutical (including “big pharma”),,Start-up,1-50,Senior Scientist,PhD or Equivalent,4.0,150000.0,0.15,Not Applicable/None,10000.0,,,,,,,,,,,,
2022-06-02 15:17:44.179000,Athens,bioplastics,,Start-up,200-1000,Bioprocesses Technician,High School or Equivalent,0.0,45697.6,Not Applicable/None,Not Applicable/None,,,,,,,,,,,,,
2022-06-02 23:06:49.611000,Bay Area ,Biotech,,Private,50-200,Sr. Research Associate ,Bachelors or Equivalent,4.0,103000.0,8% bonus ,Not Applicable/None,10000.0,,,,,,,,,,,,
2022-06-03 10:03:11.895000,San Francisco,synbio,,Start-up,200-1000,Research Associate 1,Bachelors or Equivalent,3.0,78000.0,Not Applicable/None,Not Applicable/None,,,,,,,,,,,,,
2022-06-03 15:04:24.523000,Boston,Pharmaceutical (including “big pharma”),Resilience,Private,1000-5000,Associate Director,PhD or Equivalent,7.0,170000.0,17000.0,17000.0,,,,,,,,,,,,,
2022-06-03 15:23:42.724000,"Boston, MA",Pharmaceutical (including “big pharma”),,Public,50-200,"Associate Director, Scientific Communications ",PhD or Equivalent,7.0,165000.0,33000.0,68970.0,5000.0,,,,,,,,,,,,
2022-06-03 21:52:37.747000,Seattle but I work remotely from FL,Academia/Research,,Public,200-1000,Intern,Masters or Equivalent,2.0,60000.0,Not Applicable/None,Not Applicable/None,,,,,,,,,,,,,
2022-06-04 01:23:25.421000,San Diego,Pharmaceutical (including “big pharma”),ImmunityBio,Public,,Purchasing Assistant ,Bachelors or Equivalent,1.0,65000.0,5000.0,Not Applicable/None,,,,,,,,,,,,,
2022-06-04 17:37:28.508000,San Diego ,Pharmaceutical (including “big pharma”),,Public,1000-5000,Sr Scientist/Manager ,PhD or Equivalent,6.0,145000.0,0.15,Not Applicable/None,7500.0,,,,,,,,,,,,
2022-06-05 00:56:34.483000,Boston,Biotechnology,,Start-up,1-50,Sr. Scientist,PhD or Equivalent,6.0,160000.0,24000.0,50000.0,,,,,,,,,,,,,
2022-06-05 01:09:48.954000,Bay area ,Animal Health,,Public,5000+,Scientist ,PhD or Equivalent,0.0,120000.0,Not Applicable/None,Not Applicable/None,0.0,0.0,,,,,,,,,,,
2022-06-05 10:10:28.479000,Bay Area,Pharmaceutical (including “big pharma”),,Private,50-200,Senior Scientist I,Bachelors or Equivalent,9.0,140000.0,16800.0,Not Applicable/None,,,,,,,,,,,,,
2022-06-05 15:36:36.238000,Philadelphia,Academia/Research,Century Therapeutics,Public,50-200,Research Associate,Bachelors or Equivalent,1.0,95000.0,4750.0,Not Applicable/None,,,,,,,,,,,,,
2022-06-05 23:04:55.156000,Boston,Biologics,,Public,200-1000,Associate scientist ,Masters or Equivalent,0.0,95000.0,9500.0,3000.0,3000.0,,,,,,,,,,,,
2022-06-06 14:26:24.816000,Bay Area - Mid Penninsula,Pharmaceutical (including “big pharma”),,Start-up,50-200,Senior Research Associate 1,Masters or Equivalent,4.0,98000.0,9800.0,yes,0.0,0.0,,,,,,,,,,,
2022-06-06 14:34:04.833000,Cambridge UK,Sequencing/Genetic Analysis,,Public,5000+,Data Steward I,Bachelors or Equivalent,1.0,35700.0,1800.0,2500.0,,,,,,,,,,,,,
2022-06-06 20:10:16.817000,U.K.,Academia/Research,,Academia/College/Universities,5000+,Research Associate,PhD or Equivalent,18.0,31400.0,Not Applicable/None,Not Applicable/None,,,,,,,,,,,,,
2022-06-06 22:00:10.856000,Seattle,Pharmaceutical (including “big pharma”),Bristol Myers Squibb,Private,5000+,Senior research associate,Bachelors or Equivalent,1.0,85000.0,5000.0,Not Applicable/None,5000.0,,,,,,,,,,,,
2022-06-06 23:09:15.192000,Boston,Academia/Research,Dana farber Cancer institute,Academia/College/Universities,5000+,Research fellow,PhD or Equivalent,4.0,64000.0,Not Applicable/None,Not Applicable/None,,,,,,,,,,,,,
2022-06-07 16:11:46.593000,Bay Area,Pharmaceutical (including “big pharma”),Genentech,Private,1000-5000,Scientist I,PhD or Equivalent,0.0,130000.0,Not Applicable/None,Not Applicable/None,,,,,,,,,,,,,
2022-06-09 16:33:41.683000,San Francisco,Pharmaceutical (including “big pharma”),,Public,1000-5000,Quality Sr Associate,Bachelors or Equivalent,8.0,120000.0,15000.0,15000.0,,,,,,,,,,,,,
2022-06-09 18:45:46.946000,Seattle,Pharmaceutical (including “big pharma”),BMS,Public,5000+,Scientist ,Masters or Equivalent,6.0,123000.0,12300.0,Not Applicable/None,,,,,,,,,,,,,
2022-06-09 22:25:30.710000,New Jersey,Pharmaceutical (including “big pharma”),,Public,5000+,Senior Scientist,PhD or Equivalent,6.0,130000.0,16900.0,Not Applicable/None,5000.0,25000.0,,,,,,,,,,,
2022-06-09 22:29:56.003000,Minnesota,Academia/Research,,Private,5000+,Clinical lab tech,Bachelors or Equivalent,3.0,68500.0,Not Applicable/None,Not Applicable/None,,,,,,,,,,,,,
2022-06-10 13:02:00.688000,California,Pharmaceutical (including “big pharma”),,Public,50-200,Scientist II,PhD or Equivalent,6.0,135000.0,10000.0,Not Applicable/None,,,,,,,,,,,,,
2022-06-11 03:45:28.970000,Bay Area,Pharmaceutical (including “big pharma”),,Public,1000-5000,Senior research associate,Masters or Equivalent,6.0,115.0,5.0,Not Applicable/None,,,,,,,,,,,,,
2022-06-11 06:17:31.567000,"Canada, Ottawa",Academia/Research,,Academia/College/Universities,50-200,Lab Technician,Associate’s Degree or Equivalent,2.0,45000.0,Not Applicable/None,Not Applicable/None,,,,,,,,,,,,,
2022-06-11 10:33:28.646000,Boston,Pharmaceutical (including “big pharma”),,Public,5000+,Scientist,PhD or Equivalent,0.0,110000.0,0.15,Not Applicable/None,10000.0,,,,,,,,,,,,
2022-06-11 17:00:36.585000,Boston,Pharmaceutical (including “big pharma”),,Private,1000-5000,Associate Director,PhD or Equivalent,12.0,180000.0,36000.0,Not Applicable/None,20000.0,,,,,,,,,,,,
2022-06-11 17:13:58.615000,Philadelphia metro,Pharmaceutical (including “big pharma”),Catalent,Public,5000+,QA Inspector,Bachelors or Equivalent,0.0,50000.0,Not Applicable/None,Not Applicable/None,,,,,,,,,,,,,
2022-06-11 19:57:35.651000,Bay Area,Pharmaceutical (including “big pharma”),,Public,200-1000,Research Associate III,Bachelors or Equivalent,3.0,99000.0,9900.0,1000.0,,,,,,,,,,,,,
2022-06-13 00:37:37.746000,Denver,Pharmaceutical (including “big pharma”),,Private,1-50,Senior Scientist,PhD or Equivalent,7.0,110000.0,11000.0,Not Applicable/None,,,,,,,,,,,,,
2022-06-13 19:00:08.330000,DC area,Pharmaceutical (including “big pharma”),,Public,1000-5000,Manager,Bachelors or Equivalent,7.0,125000.0,75000.0,Not Applicable/None,,,,,,,,,,,,,
2022-06-13 20:43:09.709000,San Francisco,Pharmaceutical (including “big pharma”),,Private,1-50,Senior Research Associate II,Bachelors or Equivalent,7.0,110000.0,Not Applicable/None,Not Applicable/None,2500.0,,,,,,,,,,,,
