timestamp,what_country_do_you_work_in,where_is_the_closest_major_city_or_hub,where_are_you_located,biotech_sub_industry,company_or_institution_name,company_details_publicprivatestartup_subsidiary_of,company_detail_approximate_company_size,role_title_of_current_position,what_degrees_do_you_have,list_other_relevant_and_recognized_certifications,briefly_describe_your_position,years_of_experience,compensation_annual_base_salarypay,compensation_overtime_pay,compensation_annual_target_bonus,compensation_annual_equitystock_option,compensation_most_recent_annual_yearly_raise,compensation_sign_on_bonus_value,compensation_sign_on_stockequity_options,compensation_retirement_benefits,compensation_retirement_percent_match,compensation_healthcare_benefits,sign_on_relocation_assistance_total_value,company_review,work_life_balance_on_average_how_many_hours_do_you_work_per_week,survey_feedback
2024-09-24 19:37:06.560000,,,West Coast (California & Pacific Northwest),Industrial Biotech,Prefer not to say,Start-up,50-200,Scientist ,Bachelors or Equivalent,None,,7.0,125000.0,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,Company/Institution does not have annual yearly raise,,,401K match,,,,,41 - 45,
2024-09-24 18:41:23.665000,,,"New England (MA, CT, RI, NH, VT, ME)",Industrial Biotech,Prefer not to say,Public,200-1000,Principal Scientist,"Bachelors or Equivalent, PhD or Equivalent",None,"Principal scientist: manage 3 research scientists, lead a program in early discovery through Candidate nomination. ",10.0,176000.0,N/A (no overtime/salaried),35200.0,Stock options,0.06,,"5,000 ISOs",4% 401k match,,Family premiums for health vision and dental 100% paid by company,,Positive experience until they started letting investors shape their work. ,41 - 45,
2024-09-24 18:39:30.155000,,,"New England (MA, CT, RI, NH, VT, ME)",Contract Manufacturing Organization,Prefer not to say,Private,200-1000,Principal Scientist,PhD or Equivalent,None,,6.0,154000.0,N/A (no overtime/salaried),11500.0,Not Applicable/None,0.042,,,3% 401K match,,,,,41 - 45,
2024-09-24 18:17:20.660000,,,West Coast (California & Pacific Northwest),Academia/Research/Institution,Allen Institute,Academia/College/Universities,200-1000,Bioinformatic Scientist II,"High School or Equivalent, Bachelors or Equivalent, PhD or Equivalent",None,,4.0,123000.0,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,0.03,10000.0,,50% match up to the maximum,,,,,41 - 45,
2024-09-24 18:14:46.140000,,,West Coast (California & Pacific Northwest),Biotech Equipment,Prefer not to say,Public,5000+,Staff Bioinformatics Scientist,PhD or Equivalent,None,,9.0,195000.0,N/A (no overtime/salaried),19500.0,20000.0,Have not been long enough to have an annual yearly raise,0.0,,401k 3% match,,,,,41 - 45,
2024-09-24 18:04:48.058000,,,"Carolinas & Southeast (From NC to AR, South FL and LA)",Academia/Research/Institution,St Jude,Academia/College/Universities,1000-5000,Bioinformatics research scientist ,PhD or Equivalent,None,,0.0,95000.0,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,Have not been long enough to have an annual yearly raise,,,Employer 7%,,Employer 100% health care ,10000.0,,46 - 50,
2024-09-24 17:40:00.853000,,,"New England (MA, CT, RI, NH, VT, ME)",Biotech Equipment,Spaero Bio,Start-up,1-50,Scientist II,PhD or Equivalent,None,Laboratory Automation Solution and Technology Development,3.0,130000.0,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,Have not been long enough to have an annual yearly raise,,,none,,,,,41 - 45,
2024-09-24 16:28:13.278000,,,"New England (MA, CT, RI, NH, VT, ME)",Big Pharmaceuticals,Novartis,Public,5000+,Research Scientist II,Bachelors or Equivalent,None,RS2 - Everything from cell engineering to inhibition assays to vector design to mechanism of action studies. Very varied. ,10.0,85000.0,N/A (no overtime/salaried),6000.0,Not Applicable/None,0.03,0.0,0.0,2% auto + 4% match ,,"2000 oop, hsa",0.0,3. They don’t give a shit about innovation. Just buying other companies. ,46 - 50,
2024-09-24 16:23:53.954000,,,"Pharma Central (NY, NJ, PA)",Industrial Biotech,Prefer not to say,Start-up,1-50,Principal Scientist,"Masters or Equivalent, PhD or Equivalent",None,,10.0,175000.0,N/A (no overtime/salaried),17500.0,Not Applicable/None,10.0,,,6 % 401k match,,,,,41 - 45,
2024-09-24 16:20:18.593000,,,West Coast (California & Pacific Northwest),Industrial Biotech,Prefer not to say,Private,1-50,Software Engineer,Bachelors or Equivalent,None,Mid Level Software Engineer,5.0,160000.0,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,Company/Institution does not have annual yearly raise,15000.0,, 401k match 2%,,Pretty great healthcare. Probably the best of all companies I worked for. They pride themselves in giving good health care benefits with low deuctables. ,,"4.0 out of 5.0 - overall a great company, but some growing pains",41 - 45,great
2024-09-24 16:09:03.309000,,,"New England (MA, CT, RI, NH, VT, ME)",Big Pharmaceuticals,Novartis,Public,5000+,Senior Scientist II,PhD or Equivalent,None,,0.0,120000.0,N/A (no overtime/salaried),12000.0,Not Applicable/None,0.03,20000.0,,6% 401k match,,,,,36 - 40,
2024-09-24 16:05:41.467000,,,"New England (MA, CT, RI, NH, VT, ME)",Industrial Biotech,Flagship,Private,200-1000,Senior Scientist,PhD or Equivalent,None,,14.0,156000.0,N/A (no overtime/salaried),0.15,Not Applicable/None,0.04,,,"401k 3,5%",,,,,41 - 45,
2024-09-24 16:02:09.894000,,,"New England (MA, CT, RI, NH, VT, ME)",Industrial Biotech,Prefer not to say,Start-up,50-200,Computational Biologist 2,PhD or Equivalent,None,,1.0,130000.0,N/A (no overtime/salaried),13000.0,Not Applicable/None,Have not been long enough to have an annual yearly raise,0.0,Yes,4% 401K Match,,HSA,,,36 - 40,
2024-09-24 15:41:22.465000,,,"New England (MA, CT, RI, NH, VT, ME)",Big Pharmaceuticals,Bristol Myers Squibb,Public,5000+,Senior Associate Scientist,"Bachelors or Equivalent, Masters or Equivalent",None,"Senior Associate:  lab work and data analysis, part of small team reporting to Senior Scientist",5.0,117000.0,N/A (no overtime/salaried),9000.0,2500.0,0.03,,,401k match,,PPO plans,,,36 - 40,
2024-09-24 14:03:29.975000,,,"New England (MA, CT, RI, NH, VT, ME)",Climate,Prefer not to say,Start-up,1-50,Head of Computational Biology,PhD or Equivalent,None,Lead Comp bio / bioinformatics team of 5 scientists,9.0,198000.0,N/A (no overtime/salaried),21000.0,Not Applicable/None,4.0,,,4% 401k match,,,,,41 - 45,
2024-09-24 14:00:39.276000,,,Germany,Contract Research Organization,Evotec,Private,200-1000,Scientist ,PhD or Equivalent,None,,3.0,67000.0,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,4.0,,,Some contribution to private pension plan. Government pension plan contribution is on the employee.,,On par with German system - Monthly health insurance covers all medical costs (with basic dental).,,,36 - 40,
2024-09-24 13:50:44.741000,,,West Coast (California & Pacific Northwest),Agriculture,Prefer not to say,Start-up,1-50,Bioinformatics Associate II,Bachelors or Equivalent,None,,2.0,61000.0,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,3.0,0.0,,3% match,,"fully paid medical, dental, and vision",2000.0,,30 - 35,
2024-09-24 12:52:20.601000,,,India,Academia/Research/Institution,Metflux research ,Private,1-50,Associate Decision scientist ,"High School or Equivalent, Bachelors or Equivalent, Masters or Equivalent",None,Modeling and simulations of biological systems to provide insights on product or drug intervention.,2.0,820000.0,N/A (no overtime/salaried),60000.0,Not Applicable/None,Company/Institution does not have annual yearly raise,0.0,0.0,0.0,,0.0,0.0,,46 - 50,
2024-09-24 12:01:22.717000,,,"New England (MA, CT, RI, NH, VT, ME)",Biotech Equipment,Prefer not to say,Start-up,1-50,Sr technical program manager,"High School or Equivalent, Bachelors or Equivalent, Masters or Equivalent",None,"Product development and program management for team of engineers and scientists, develop QMS and quality department no direct reports",5.0,132500.0,N/A (no overtime/salaried),20250.0,Unsure,Have not been long enough to have an annual yearly raise,,,None,,$487 for own insurance and deductible costs,,,30 - 35,
2024-09-24 11:57:53.589000,,,"New England (MA, CT, RI, NH, VT, ME)",Industrial Biotech,Prefer not to say,Start-up,50-200,Senior Scientist,PhD or Equivalent,None,Analytical development team,2.0,140000.0,N/A (no overtime/salaried),Not Applicable/None,Equity,Have not been long enough to have an annual yearly raise,0.0,0.0,401k match,,"Good healthcare, low monthy payments, good dental/vision",,Very nice,41 - 45,
2024-09-24 11:46:46.227000,,,"Pharma Central (NY, NJ, PA)",Medical/Health Devices,Prefer not to say,Subsidiary,50-200,Bioinformatics Software Engineer,Masters or Equivalent,None,,3.0,129000.0,N/A (no overtime/salaried),0.1,Not Applicable/None,0.03,10000.0,,5% match 401k,,,,,36 - 40,
2024-09-24 11:42:07.520000,,,Germany,Industrial Biotech,Prefer not to say,Start-up,1-50,Scientist,PhD or Equivalent,None,Bioinformatics scientist in an industrial enzyme engineering company,1.0,50000.0,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,Have not been long enough to have an annual yearly raise,2000.0,,State pension,,,1000.0,,46 - 50,
2024-09-24 11:31:31.885000,,,"New England (MA, CT, RI, NH, VT, ME)",Big Pharmaceuticals,Prefer not to say,Public,1-50,"Vice President, Head of CMC",PhD or Equivalent,None,"VP Head of CMC. Manage clinical pipeline of two early phase, one late phase asset.  Manage 2 directors",22.0,285000.0,N/A (no overtime/salaried),85000.0,"100,000 options/yr",3% target,0.0,"50,000 options",6% 401k match,,"Family medical/dental/vision $287 monthly contribution, pharmacy benefit varies a lot (some drugs no co-pay, some are $1/dose), health reimbursement covers all out of pocket expenses from primary coverage",,Best job I've had! ,41 - 45,Thanks for doing this!!!!!
2024-09-24 11:18:27.098000,,,"New England (MA, CT, RI, NH, VT, ME)",Industrial Biotech,Prefer not to say,Start-up,200-1000,Research Associate II,Bachelors or Equivalent,None,Pre-clinical drug discovery research associate,2.0,84600.0,N/A (no overtime/salaried),5000.0,11000.0,4.0,0.0,ISO,401k match 3.5%,,HSA match,,,,
2024-09-24 10:59:42.567000,,,"New England (MA, CT, RI, NH, VT, ME)",Big Pharmaceuticals,UCB,Public,1000-5000,Senior Research Associate,Bachelors or Equivalent,None,Senior Research Associate - Analytics for gene therapy,4.0,880000.0,N/A (no overtime/salaried),500.0,Not Applicable/None,5.0,,,6% 401k match,,,,3 out of 5,41 - 45,
2024-09-24 10:58:23.980000,,,United Kingdom and Ireland,Industrial Biotech,Colorifix,Start-up,50-200,Junior fermentation scientist,"High School or Equivalent, Bachelors or Equivalent",None,"Data analysis and visualisation, lab work across different equipment, design and scheduling of experiments. ",2.0,33000.0,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,Company/Institution does not have annual yearly raise,,,"Company pension fund match, small healthcare insurance ",,,,,41 - 45,
2024-09-24 10:48:32.961000,,,"South & Mountain West (TX to AZ, North to MT)",Academia/Research/Institution,Prefer not to say,Academia/College/Universities,5000+,Senior research scientist ,Masters or Equivalent,None,,6.0,81600.0,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,0.03,,,Teachers plan ,,,,,36 - 40,
2024-09-24 10:47:44.832000,,,"New England (MA, CT, RI, NH, VT, ME)",Industrial Biotech,Prefer not to say,Public,50-200,Assoc Dir,PhD or Equivalent,None,IC with outsourcing oversight,8.0,195000.0,N/A (no overtime/salaried),0.2,Not Applicable/None,0.05,0.0,0.0,401k Match,,,0.0,,46 - 50,
2024-09-24 10:47:28.889000,,,"Pharma Central (NY, NJ, PA)",Contract Manufacturing Organization,Prefer not to say,Private,200-1000,Business Development Manager ,Masters or Equivalent,None,,5.0,125000.0,N/A (no overtime/salaried),25k on target bonus ,Not Applicable/None,Have not been long enough to have an annual yearly raise,,,N/A ,,Health insurance ,,,36 - 40,
2024-09-24 10:38:59.458000,,,West Coast (California & Pacific Northwest),Industrial Biotech,Prefer not to say,Public,5000+,Scientist III,Masters or Equivalent,None,,9.0,93400.0,N/A (no overtime/salaried),6500.0,Not Applicable/None,3.0,,,3% 401k match,,High deductible,,,41 - 45,
2024-09-24 09:57:15.487000,,,Canada,Drug Discovery,Prefer not to say,Start-up,1-50,Software Engineer,Masters or Equivalent,None,,3.0,81000.0,N/A (no overtime/salaried),93000.0,1400.0,10.0,,,RRSP contribution,,,,,,
2024-09-24 09:40:03.965000,,,United Kingdom and Ireland,Industrial Biotech,Prefer not to say,Start-up,1-50,Senior Staff Bioinformatician,"Bachelors or Equivalent, Masters or Equivalent, PhD or Equivalent",None,"Lead on bioinformatics software engineering, workflow development and best practices. Mentoring junior members, but individual contributer otherwise.",10.0,67500.0,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,Have not been long enough to have an annual yearly raise,0.0,0.0,5% matched pension,,0.0,0.0,,36 - 40,"Possibly more direction required between regions, e.g. salary for me is in GBP but should it be in USD"
2024-09-24 09:25:58.416000,,,Canada,Contract Research Organization,Prefer not to say,Government,50-200,Partnership lead,PhD or Equivalent,None,Work with sales team to sell molecular data to pharma,5.0,145000.0,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,3.5,3500.0,0.0,7% match,,insurance provider,,,36 - 40,
2024-09-24 09:15:03.259000,,,"New England (MA, CT, RI, NH, VT, ME)",small pharma,Prefer not to say,Start-up,200-1000,Senior Data Scientist,PhD or Equivalent,None,,5.0,195000.0,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,5.0,,,401k 1/4 match,,95% paid by company but not very good,none,,36 - 40,
2024-09-23 11:18:30.669000,,,West Coast (California & Pacific Northwest),Big Pharmaceuticals,Totus Medicines,Start-up,1-50,Scientist I,"High School or Equivalent, Bachelors or Equivalent",None,,8.0,140500.0,N/A (no overtime/salaried),14000.0,Not Applicable/None,Rolled into promotion in Jan,,,"401k match; 100% on first 4%, 50% on next 4%",,,,"Flaming dumpster fire.  Working well beyond scope under personally hostile management.  HR exacerbates problems, including affairs between teammates (one previously married prior to successful attempt that followed incredible financial and emotional abuse).  Clinical team great, program tolerable, stay away from platform",46 - 50,
2024-09-23 08:42:54.281000,,,Austria,Big Pharmaceuticals,Prefer not to say,Public,200-1000,Scientist,PhD or Equivalent,None,,2.0,72500.0,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,Follows the legal scheme of Austria. Yearly raise goes in function to the inflation,,4090.0,Not aware of,,,,"Working in this company is just my first experience after finishing my PhD. I can say it has had a mix of positive and negative experiences so far. Scientifically and skill-wise I have learnt a lot thanks to the new frontiers I took to work on, and thanks to the stimulating environment. On the other hand, I have been pretty much disappointed by the organisation and leadership. While I understand it is not easy to navigate in this hard times for biotech companies, the constant steering on direction and confusing ons/offs on internal projects denoted quite of a nearsightedness. ",36 - 40,
2024-09-22 17:18:37.203000,,,United Kingdom and Ireland,Biotech Equipment,Cytiva,Private,5000+,Sales Specialist,Bachelors or Equivalent,None,FAS and SS for Protein research instrument,17.0,50000.0,N/A (no overtime/salaried),18000.0,Not Applicable/None,1.0,0.0,None,Match up to 8% pension,,Free healthcare cover,None,,36 - 40,
2024-09-22 11:49:51.946000,,,"Pharma Central (NY, NJ, PA)",Big Pharmaceuticals,Merck,Public,5000+,"Associate Specialist, Engineering",Bachelors or Equivalent,None,P1 - Sterile Supply Maintenance Engineer,3.0,85000.0,$225/4 hours,0.08,Not Applicable/None,Have not been long enough to have an annual yearly raise,0.0,0.0,"75% match up to 6%, pension",,$100/month for $500 deductible,0.0,"I voluntarily work a lot of OT. Standard working hours are 40-45 hours per week

My TC will likely be in the $110-120k range",46 - 50,
2024-09-21 07:19:51.860000,,,"Carolinas & Southeast (From NC to AR, South FL and LA)",Chemical,Prefer not to say,Private,5000+,Lab Tech 3,Bachelors or Equivalent,Six sigma ,Research and development for organic and silicon chemistry ,4.0,57700.0,1.5,Not Applicable/None,Not Applicable/None,3.0,5000.0,Na,6% match,,Yes,I don’t know ,,41 - 45,
2024-09-18 19:12:59.992000,,,West Coast (California & Pacific Northwest),Industrial Biotech,Biolegend,Private,200-1000,Biochemist I,Bachelors or Equivalent,None,Biochemist I- product magnetic beads for mojo sort kits ,0.0,6100.0,1.5x base,Not Applicable/None,Not Applicable/None,Have not been long enough to have an annual yearly raise,0.0,Idk,401k match 5%,,,,Super boring job wouldn’t recommend ,41 - 45,
2024-09-18 01:06:45.825000,,,West Coast (California & Pacific Northwest),Biotech Equipment,Prefer not to say,Public,50-200,Global Product Marketing Manager,Bachelors or Equivalent,None,Manage global product portfolio ,10.0,157100.0,N/A (no overtime/salaried),0.2,Not Applicable/None,0.05,5000.0,,4.5% 401k Match,,"Full health insurance benefits, HSA",,,30 - 35,
2024-09-17 20:19:40.358000,,,"Pharma Central (NY, NJ, PA)",Big Pharmaceuticals,Merck,Public,5000+,Specialist P2 QC/Dm,Masters or Equivalent,None,Deviation Management,1.0,100000.0,N/A (no overtime/salaried),10000.0,Not Applicable/None,Have not been long enough to have an annual yearly raise,0.0,0.0,"4.5% 401k, 4.5% pension",,cheap great healthcare,0.0,Great company,46 - 50,
2024-09-17 17:21:21.766000,,,"Midwest (From OH to KS, North to ND)",Contract Manufacturing Organization,Prefer not to say,Public,1000-5000,Sr. Scientist,PhD or Equivalent,None,Assay Dev,7.0,105000.0,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,3.0,,,0.05,,,,,36 - 40,
2024-09-16 20:27:31.970000,,,West Coast (California & Pacific Northwest),Medical/Health Devices,Prefer not to say,Public,1000-5000,Staff Bioinformatics Scientist,PhD or Equivalent,None,,5.0,225000.0,N/A (no overtime/salaried),45.0,32000.0,Company/Institution does not have annual yearly raise,,,3% 401k match. 0.5% per 1% you contribute ,,,,,36 - 40,
2024-09-16 20:02:43.922000,,,"DC Metro Area (DC, VA, MD, DE)",Contract Research Organization,QPS,Private,200-1000,Research Scientist,PhD or Equivalent,None,,2.0,85000.0,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,Company/Institution does not have annual yearly raise,,,Up to 3% match 401k,,,,,36 - 40,
2024-09-16 18:53:07.141000,,,West Coast (California & Pacific Northwest),Big Pharmaceuticals,Prefer not to say,Public,200-1000,Scientist,PhD or Equivalent,None,,0.0,145500.0,N/A (no overtime/salaried),14550.0,Not Applicable/None,Have not been long enough to have an annual yearly raise,5000.0,~4000 shares that best over 4 years. Some shares vesting monthly and some annually,6% 401k match with a cap of $5000/yr,,95% coverage,0.0,,36 - 40,
2024-09-15 13:58:13.158000,,,Belgium,Industrial Biotech,Galapagos,Public,200-1000,Quality Management Lead,"High School or Equivalent, Bachelors or Equivalent, Masters or Equivalent",None,Quality liaison between the Discovery department and central Quality teams ,2.0,66000.0,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,Have not been long enough to have an annual yearly raise,,,5% of salary is put in a pension fund,,"Hospitalisation insurance, possibility to add family for a fee",,,36 - 40,Other bonuses should be included 
2024-09-14 00:10:04.411000,,,"New England (MA, CT, RI, NH, VT, ME)",Industrial Biotech,Prefer not to say,Public,50-200,Senior Research Associate,Bachelors or Equivalent,None,Senior Research Associate - Handle formulation requests to enable in vivo/vitro studies.,5.0,105000.0,N/A (no overtime/salaried),10500.0,Not Applicable/None,Have not been long enough to have an annual yearly raise,,,"100% of first 3% match, 50% of the next 2% (4% match overall)",,"HDHP - Quarterly Contributions to HSA ($500/quarter) with $2000 deductible.
PPO - $1000 deductible, $15 copay. Roughly 90% company covered premium. Both BCBS",,,36 - 40,
2024-09-13 22:28:09.767000,,,West Coast (California & Pacific Northwest),Contract Manufacturing Organization,Prefer not to say,Public,50-200,"Associate Manager, MSAT","High School or Equivalent, Associate’s Degree or Equivalent, Bachelors or Equivalent",None,Manage MSAT downstream technology transfer for manufacturing of research products,4.0,84500.0,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,0.02,0.0,0.0,401k match,,HSA,N/A,I would never work for the company I work for ,41 - 45,
2024-09-12 23:53:50.073000,,,"Pharma Central (NY, NJ, PA)",Big Pharmaceuticals,Prefer not to say,Private,1-50,Principal Scientist ,"High School or Equivalent, Bachelors or Equivalent, PhD or Equivalent",None,,8.0,119000.0,N/A (no overtime/salaried),6000.0,Not Applicable/None,0.03,,,50% match up to 6%,,Standard healthcare package ,,,36 - 40,
2024-09-11 14:01:34.555000,,,"Midwest (From OH to KS, North to ND)",Academia/Research/Institution,IBRL,Public,1-50,Pilot Plant Specialist,Bachelors or Equivalent,None,"Scale-up fermentation for both the private sector and academia, at the 19L to 1500L scale. Managed undergraduate interns",2.0,62500.0,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,0.02,0.0,0.0,"401k match, SURS",,Pretty good,0.0,8/10,36 - 40,
2024-09-11 09:30:52.110000,,,"New England (MA, CT, RI, NH, VT, ME)",Big Pharmaceuticals,Prefer not to say,Public,5000+,Senior Manager External Quality,Bachelors or Equivalent,None,QA MGMT of CMOs,12.0,154000.0,N/A (no overtime/salaried),23000.0,23000.0,0.038,35000.0,35000.0,0.03,,N/a,,,41 - 45,
2024-09-11 07:09:08.028000,,,Germany,Academia/Research/Institution, Uniklinikum Heidelberg,Public,5000+,PhD student,Masters or Equivalent,None,,10.0,40000.0,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,Have not been long enough to have an annual yearly raise,0.0,,0.0,,,,,60+,
2024-09-10 19:02:43.662000,,,"South & Mountain West (TX to AZ, North to MT)",Contract Research Organization,Fortrea,Public,5000+,Sr Project Manager ,Bachelors or Equivalent,None,,19.0,183500.0,N/A (no overtime/salaried),27450.0,Not Applicable/None,0.02,0.0,0.0,401k match.,,"BCBS, other basic stuff ",,,41 - 45,
2024-09-08 20:00:23.407000,,,"Pharma Central (NY, NJ, PA)",Big Pharmaceuticals,GSK,Public,5000+,Associate Scientist,Bachelors or Equivalent,None,CMCA biological testing,3.0,75000.0,N/A (no overtime/salaried),6000.0,Not Applicable/None,2.0,5000.0,,401K match (up to 6%) and 401K base (7%),,"Good health insurance and can choose from 2 networks, life insurance, 6 months maternity/paternity leave, optional pet insurance, good prescription insurance",,"Company is great and pushes individual development. Depending on your team you might have a great or a horrible experience, really depends on your managers/coworkers. Plenty of very unengaged managers that let chaos between unchecked coworkers ensue. Not true for every team though. Good work life balance, still offering hybrid work model (3 days in office/wk minimum)",36 - 40,
2024-09-07 17:07:06.970000,,,"New England (MA, CT, RI, NH, VT, ME)",Big Pharmaceuticals,Prefer not to say,Private,1-50,Scientist,PhD or Equivalent,None,,0.0,103000.0,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,Have not been long enough to have an annual yearly raise,,,6% match in 401k,,,,,36 - 40,
2024-09-07 10:15:48.192000,,,"Midwest (From OH to KS, North to ND)",Contract Manufacturing Organization,Prefer not to say,Public,5000+,QA Specialist,Bachelors or Equivalent,None,,3.0,68000.0,N/A (no overtime/salaried),3400.0,Not Applicable/None,0.035,,,401k 100% up to 4% match,,,,,36 - 40,
2024-09-07 04:19:17.913000,,,"New England (MA, CT, RI, NH, VT, ME)",Academia/Research/Institution,Prefer not to say,Start-up,50-200,Research Associate,"High School or Equivalent, Bachelors or Equivalent",None,,1.0,72000.0,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,Company/Institution does not have annual yearly raise,0.0,none,6% 401k match,,insurance premiums paid for ok-ish plans,3000.0,,41 - 45,
2024-09-06 18:14:41.608000,,,"DC Metro Area (DC, VA, MD, DE)",Government,Prefer not to say,Private,,Senior Associate,"High School or Equivalent, Bachelors or Equivalent, Masters or Equivalent",None,,2.0,85000.0,N/A (no overtime/salaried),10200.0,Not Applicable/None,3.0,1000.0,,5% 401k match,,cigna health & dental 90% restorative 60% preventative; health club reimbursement $400; vision very low; pet insurance ,,I love my company and working in this industry has been great. I travel for work often and have great flexibility ,Less than 30,
2024-09-06 18:10:03.627000,,,Canada,Academia/Research/Institution,Prefer not to say,Academia/College/Universities,200-1000,Bioinformatics Intern,Bachelors or Equivalent,None,Bioinformatic Intern - Manage and clean up genomic data for senior bioinformaticians ,0.0,42000.0,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,Have not been long enough to have an annual yearly raise,1500.0,0.0,0.0,,0.0,,"Solid people at the academic institute, not great pay but trade off for good experience ",36 - 40,
2024-09-06 18:05:51.071000,,,West Coast (California & Pacific Northwest),Industrial Biotech,Prefer not to say,Public,5000+,Associate Director,Masters or Equivalent,None,,15.0,220000.0,N/A (no overtime/salaried),44000.0,45000.0,Have not been long enough to have an annual yearly raise,10000.0,N/A,N/A,,,,,,
2024-09-05 14:46:28.695000,,,"New England (MA, CT, RI, NH, VT, ME)",Big Pharmaceuticals,Prefer not to say,Public,5000+,Director,PhD or Equivalent,None,Manage portfolio of assets and develop therapeutic area strategies for future growth,8.0,230000.0,N/A (no overtime/salaried),60000.0,80000.0,3.0,0.0,N/A,N/A,,,,,41 - 45,
2024-09-05 07:04:55.218000,,,"Carolinas & Southeast (From NC to AR, South FL and LA)",Contract Manufacturing Organization,Ascend Advanced Therapies,Private,50-200,QC Associate III,Bachelors or Equivalent,None,,6.0,92000.0,N/A (no overtime/salaried),9200.0,Not Applicable/None,Have not been long enough to have an annual yearly raise,0.0,0.0,401k 100% match on first 4%,,,,,41 - 45,
2024-09-04 19:28:05.548000,,,"New England (MA, CT, RI, NH, VT, ME)",Big Pharmaceuticals,Prefer not to say,Public,5000+,Sr. Scientist,PhD or Equivalent,None,"High end of Sr Scientist, exploratory. Lead 3 early programs, manage 2 FTE (1 PhD)",9.0,175000.0,N/A (no overtime/salaried),26250 (>100% of target is common),Not Applicable/None,0.04,10000.0,None below Director level,9% 401k match (vests incrementally over 3yrs),,"Two excellent options for health insurance, both low cost/deductible, HSA optional",,"Overall very reasonable work culture, senior management (VP+) are thoughtful and reasonably accessible. Great benefits.",46 - 50,
2024-09-04 18:29:39.257000,,,West Coast (California & Pacific Northwest),Pharma start up ,Prefer not to say,Start-up,1-50,Sci 1,PhD or Equivalent,None,,2.0,110000.0,N/A (no overtime/salaried),10000.0,Equity ,Company/Institution does not have annual yearly raise,4000.0,Not going to do that ,401k and health insurance ,,Hmo ,,,51 - 60,
2024-09-04 12:35:18.765000,,,"New England (MA, CT, RI, NH, VT, ME)",Contract Manufacturing Organization,Prefer not to say,Public,50-200,QA Validation Manager,Masters or Equivalent,None,QA Val manager responsible for 3 reportees managing site val activities (FUE & CSV)),10.0,155000.0,N/A (no overtime/salaried),22500.0,15000.0,4500.0,15000.0,,401K match,,,,Good,36 - 40,
2024-09-02 22:27:13.904000,,,"Carolinas & Southeast (From NC to AR, South FL and LA)",Agriculture,Prefer not to say,Start-up,1-50,Scientist,PhD or Equivalent,None,,1.0,80000.0,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,Have not been long enough to have an annual yearly raise,,,4% 401k match,,"most of self-healthcare (decent plans) and partial family, $500/m for self+spouse w/ HSA plan",,,36 - 40,
2024-08-31 11:29:14.785000,,,West Coast (California & Pacific Northwest),Medical/Health Devices,Prefer not to say,Public,1000-5000,Senior Lab Manager,Bachelors or Equivalent,None,,13.0,175000.0,N/A (no overtime/salaried),21000.0,Not Applicable/None,5000.0,,,Match,,,,,36 - 40,
2024-08-29 18:43:59.228000,,,West Coast (California & Pacific Northwest),Big Pharmaceuticals,Prefer not to say,Public,5000+,"Senior Manager, Commercial",Masters or Equivalent,None,Analytics focused ,10.0,216000.0,N/A (no overtime/salaried),39000.0,23% of base ,4.8,,,10% 401K match ,,,,At an inflection / changeover point (a long one),36 - 40,
2024-08-29 17:50:00.418000,,,"Carolinas & Southeast (From NC to AR, South FL and LA)",Contract Research Organization,Icon ,Public,5000+,Budget analyst ,Bachelors or Equivalent,None,,8.0,97000.0,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,Company/Institution does not have annual yearly raise,,,401k,,,,,41 - 45,
2024-08-28 23:06:05.112000,,,West Coast (California & Pacific Northwest),Big Pharmaceuticals,Prefer not to say,Public,200-1000,Scientist,PhD or Equivalent,None,,0.0,145000.0,N/A (no overtime/salaried),0.1,15000.0,Have not been long enough to have an annual yearly raise,,,5% 401k match,,40$/month,,,41 - 45,
