Timestamp,Email Address,Which country do you work in?,What City do you work in?,Which US state do you work in?,Which Canadian Province do you work in?,Company or Institution Name,Which of the following best describes your company?,Biotech sub industry?,Company Detail - Approximate Company Size,Provide a review and rate your company/institution and experience,"Work Life Balance - On average, how many hours do you work per week","What is your official job title?

This should match the title that was present on your offer letter. 

Some examples: Research Associate, Scientist, Scientist I/II/III, Senior Scientist, Principal Scientist, Manager, Lab Technician, VP, Director etc.

If your job title includes additional detail, please include e.g. Director of Bioinformatics","Which department best describes your role? If you can't find one that fits your specific role, select 'Other' and describe
",Briefly describe your position and responsibilities,"Do you work In-Person, Remote, or Hybrid?",How many days on average per week do you work from home?,What degrees do you have?,"How many total years of experience in post-docs do you have? (If none, enter 0)","List other relevant and recognized certifications
","Please enter your total years of experience in the field

DO NOT INCLUDE years in BSc, Masters, PhD, or post-bacc/post-doc",What currency will you be answering these questions in?,Are you a salaried or hourly employee,"If you are an hourly employee, how many hours per week do you work?","Annual Base Salary 

What is your annual BASE salary? Do not include bonus or stocks

If you are paid hourly, multiply by 2080 to convert to yearly (assuming you work 40hr/week)","Overtime Pay

How is overtime handled on a per hour basis? (1.5x base, 2x base, etc)","Annual Target Bonus in PERCENTAGE (%)

This should be stipulated prior to your employment. DO NOT include one-time bonuses (spot bonuses, signing bonuses, referral bonuses).","Commission

If you are compensated with commission how much is your commission? (Please indicate if answering in percentage or absolute monetary value)","Annual Equity/Stock Option

Please enter the grant/market value of your long-term incentive. Use the annualized amount if distributed over several years. Enter 0 if none or not applicable. 

DO NOT include equity when signing on or one-time equity bonuses","Most recent annual yearly raise (%)

Companies typically do yearly raises across the board for all employees. This is not to be confused with promotions or raises that were requested.
","[Sign on] Bonus Value
This is a one-time bonus you may have received when signing-on. This is not a bonus that reoccurs","[Sign on] Stock/Equity Options
Briefly describe sign on stock/equity options that is available","[Sign on] Relocation Assistance Total Value

This is the total value of the relocation assistance including but not limited to tax-true ups company may have paid, movers expenses, shipping of vehicles, temporary living, etc.","Retirement Benefits (free text)
Briefly describe retirement benefits. For example 401k match %, pension, etc","Healthcare Benefits (free text)
Describe healthcare benefits - costs, deductibles, outfamily plan, insurance provider, total out of pocket, HSA contributions, etc","Select the highest level of education that you have that's relevant to your occupation. If you have multiple (e.g. PhD + MD) please select ""Other"" and describe",How many years have you been working at this current position?,What currency will you be answering these quesitons in?,Survey feedback,"Any other type of annual bonus? Please describe.

 DO NOT include one-time bonuses (spot bonuses, signing bonuses, referral bonuses).
","How much of your bonus did you receive in the last cycle?

e.g. maybe your target bonus was 10%, but you actually got 8% this year. So here you would write ""8%""
"
8/12/2025 17:45:22,,United States,,California,,Prefer not to say,Public,Contract Research Organization,200-1000,,46 - 50,Senior Engineering Manager,Operations,Manage people and equipment supporting operations of a CRO lab,Remote,5,,0,,15,,Salaried,Not applicable,164000,N/A (no overtime/am salaried),8,No commission,0,1.5,,,,4% 401k match ,,Bachelors,4,USD - US dollar,,,9
8/12/2025 17:20:15,,United States,,Arizona,,Prefer not to say,"provate, non-profit",Academia/Research/Institution,200-1000,I love my institute. Pay could be better but we are a non-profit.,36 - 40,"Associate VP, Research Compliance",regulatory and compliance,Oversee research compliance,Hybrid,4,,0,,25,,Salaried,Not applicable,180000,N/A (no overtime/am salaried),0,No commission,0,we have cost of living raises between 2-4%,0,0,0,401k with 6% match,"various healthcare plans, dental, FSA accounts",PhD,22,USD - US dollar,"thanks,",Bonuses are not a given. we may get stretch goals bonuses if the institute does well,8%
8/11/2025 11:13:13,,United States,,Illinois,,SAB Biotherapeutics ,Public,Pharmaceutical (including “big pharma”),50-200,,30 - 35,Senior Regulatory Affairs Associate ,Regulatory ,Global regulatory and submissions.,Remote,5,,0,,10,,Salaried,Not applicable,97000,N/A (no overtime/am salaried),10,No commission,0,Have not been long enough to have an annual yearly raise,5000,0,0,4% match,UNHC no HSA contributions ,Bachelors,1,USD - US dollar,,Signing 5k,10
8/11/2025 7:36:43,,United States,,California,,Prefer not to say,Public,Pharmaceutical (including “big pharma”),5000+,,36 - 40,Principal Health Economist ,Data Science / Bioinformatics,,Remote,5,,12,,15,,Salaried,Not applicable,255000,N/A (no overtime/am salaried),24,No commission,55000,3.5,,,,10%,,PhD,9,USD - US dollar,,,48
8/10/2025 17:56:49,,United Kingdom,Oxford,,,University of Oxford,Academia/College/Universities,Academia/Research/Institution,5000+,,36 - 40,Research Assistant,Data Science / Bioinformatics,,Hybrid,1,,0,,0,,Salaried,Not applicable,34900,N/A (no overtime/am salaried),,No commission,0,Have not been long enough to have an annual yearly raise,,,,,,Bachelors,0,GBP - sterling,,,
8/10/2025 16:49:43,,United States,,Texas,,Thermo Fisher Scientific,Public,Biotech Equipment,5000+,,36 - 40,"Scientist III, Molecular Biology",Research,"Research and development of sample preparation for nucleic acid extractions, across a range of sample types and chemistries and instrumentation, with a specialization in verification and validation on the team.",In-Person,1,,0,,14,,Salaried,Not applicable,100500,N/A (no overtime/am salaried),5,No commission,0,5,0,none,0,401K match,"Range of benefit choices, but uses United Health Care which sucks.  ",Bachelors,3.5,USD - US dollar,,Additional bonus based on company and individual performance,8
8/10/2025 11:08:12,,United States,,California,,Prefer not to say,Private,Pharmaceutical (including “big pharma”),200-1000,Great Company Comp and Perks - Leadership could improve,30 - 35,Sr. Medical Science Liaison,Medical Affairs,Scientific Engagement with Physicians and Congress/Conference attendance,Remote,5,,15,MSN APRN DNP NP,15,,Salaried,Not applicable,257000,N/A (no overtime/am salaried),30,No commission,30000,4%,50000,30000,25000,"401K, Car Allowance, Education Allowance, 12 weeks of vacation, Phone Allowance,",,DNP,7,USD - US dollar,,Stock ,35%
8/9/2025 11:42:23,,United States,,Massachusetts,,Prefer not to say,Private,Pharmaceutical (including “big pharma”),1-50,,41 - 45,Senior Scientist I,Research,,In-Person,0,,0,,3,,Salaried,Not applicable,150000,N/A (no overtime/am salaried),15,No commission,0,Company/Institution does not have annual yearly raise,,,,"401K, no match",HDHP with employer HSA contribution,PhD,1,USD - US dollar,,,15
8/9/2025 6:15:25,,United States,,California,,Pacira Biosciences,Public,Pharmaceutical (including “big pharma”),200-1000,Company is in a turnaround scenario with new leadership and staff. Enjoy the environment and people.,41 - 45,Director,Marketing,Develop and execute marketing strategies and tactics.,Remote,2,,0,,14,,Salaried,Not applicable,235000,N/A (no overtime/am salaried),23,No commission,50000,Have not been long enough to have an annual yearly raise,,$70000 RSUs + options,0,5% 401K match,Aetna PPO insurance for couple hundred bucks/month,Bachelors,<1,USD - US dollar,,,
8/7/2025 8:34:33,,United States,,Massachusetts,,Prefer not to say,Public,Pharmaceutical (including “big pharma”),5000+,8/10,Less than 30,Quality Assurance Specialist,Analytical Development,,Hybrid,2,,0,,8,,Hourly,40,124800,1.5x base,,No commission,0,Have not been long enough to have an annual yearly raise,,,,N/A,N/A,Bachelors,1,USD - US dollar,,,
8/7/2025 4:44:55,,United Kingdom,Remote,,,Prefer not to say,Public,Techbio,200-1000,,36 - 40,"Director, Clinical Pharmacology",Clinical,,Remote,5,,0,,9,,Salaried,Not applicable,116100,N/A (no overtime/am salaried),20,No commission,140000,Company/Institution does not have annual yearly raise,,,,5% match salary sacrifice,,Bachelors,1,GBP - sterling,,,15
8/6/2025 11:13:47,,United States,,Massachusetts,,Prefer not to say,Public,Pharmaceutical (including “big pharma”),5000+,,36 - 40,Scientist II,Research,,In-Person,0,,1,,1,,Salaried,Not applicable,120000,N/A (no overtime/am salaried),10,No commission,0,Have not been long enough to have an annual yearly raise,15000, None,58000,10% 401k match,"Cigna gold plans, company pays 85% of premiums ",PhD,1,USD - US dollar,,,12
8/6/2025 10:33:24,,United States,,California,,Prefer not to say,Public,Cell and Gene Therapy,5000+,,36 - 40,Associate Director ,CMC,Program management ,Hybrid,2,,4,,6,,Salaried,Not applicable,180000,N/A (no overtime/am salaried),17.5,No commission,24000,3.50%,,,,,,PhD,1 year,USD - US dollar,,,
8/6/2025 10:19:40,,United States,,Pennsylvania,,Merck,Public,Pharmaceutical (including “big pharma”),5000+,,41 - 45,Specialist Engineering,Manufacturing,,In-Person,1,,0,,2,,Salaried,Not applicable,92500,N/A (no overtime/am salaried),8,No commission,0,3%,,,,,,Bachelors,1,USD - US dollar,,,
8/6/2025 9:52:19,,Canada,,,Ontario,Resilience,Private,Contract Manufacturing Organization,200-1000,,41 - 45,Scientist,Research,Development lab work and support for client projects ,In-Person,0,,0,,11,,Salaried,Not applicable,125000,1.5x,12,No commission,0,Have not been long enough to have an annual yearly raise,0,0,0,"RRSP, DPSP, ",N/A - Canada,Masters,1 month,CAD - Canadian dollar,,,
8/5/2025 20:40:20,,United States,,New Jersey,,Prefer not to say,Private,Pharmaceutical (including “big pharma”),5000+,,41 - 45,Scientist,Analytical Development,"Method transfer, testing, validation",In-Person,0,,0,,3,,Salaried,Not applicable,110000,N/A (no overtime/am salaried),7.5,No commission,4000,Have not been long enough to have an annual yearly raise,,,,6.5,,Masters,1,USD - US dollar,,,
8/5/2025 15:43:32,,United States,,California,,Senti Biosciences,Public,Cell and Gene Therapy,1-50,Great company culture but the benefits could use help,30 - 35,"Associate Director, Lab Operations And Facilities",Operations,Lab and Facility Mgmt,In-Person,0,,0,,10,,Hourly,35,136500,1.5x base,,No commission,0,Company/Institution does not have annual yearly raise,0,0,0,401k 5%,,Bachelors,1,USD - US dollar,,,
8/4/2025 16:35:10,,United States,,Oregon,,Thermo Fisher,Public,Biotech Equipment,5000+,,36 - 40,Product Applications Specialist ,Pre/Post Sales activities,,In-Person,0,,1,,1,,Salaried,Not applicable,109000,N/A (no overtime/am salaried),8,No commission,0,Have not been long enough to have an annual yearly raise,,,,6% match,Yes,PhD,1,USD - US dollar,,,
8/3/2025 17:18:58,,United States,,New Jersey,,Merck,Public,Pharmaceutical (including “big pharma”),5000+,,41 - 45,Senior Scientist,Research,,In-Person,2,,2,,7,,Salaried,Not applicable,145500,N/A (no overtime/am salaried),13,No commission,0,3,5000,,25000,,,PhD,3,USD - US dollar,,,14.82
8/1/2025 22:24:37,,United States,,Massachusetts,,Prefer not to say,Private,Contract Manufacturing Organization,1000-5000,3/5. Recently switched to Account Management due to work/life balance issues in previous position. Pay is very mediocre but not many options in my part of the state in this field (not interested in moving to Boston). Management in my office sucks. Lots of micromanaging. WFH is nice for Account Managers and Finance team. ,36 - 40,Account Manager,Business Development,Manage client projects. Serve as a bridge between clients and laboratory staff.,Remote,5,,0,,4,,Salaried,Not applicable,70000,N/A (no overtime/am salaried),,No commission,0,3%,,,,"401k match - 100% up to 3%, 50% for next 3% (so contribute 6%, it's matched 4.5%)",,Bachelors,<1,USD - US dollar,,Small yearly bonus depending on company performance. Usually ~1 paycheck worth.,
8/1/2025 12:22:51,,United States,,Massachusetts,,Prefer not to say,Public,Cell and Gene Therapy,200-1000,,41 - 45,Sr QA Associate II,Quality,,Hybrid,2,,0,,5,,Salaried,Not applicable,109000,N/A (no overtime/am salaried),12.5,No commission,4,3-4%,,,,,,Masters,3,USD - US dollar,,,
7/31/2025 10:32:18,,United States,,Massachusetts,,GSK,Public,Pharmaceutical (including “big pharma”),5000+,,36 - 40,Analytical Operations Manager,Analytical Development,"Ownership of QMS, Management monitoring, Dev/CAPA/CC, training, EMS, sample management, analytical planning, risk assessments, audit management, risk assessments, Gembas",Hybrid,2,,0,,12,,Salaried,Not applicable,152000,N/A (no overtime/am salaried),18,No commission,18000,0.3,,,,7% 401k contribution and 4% 401k match ,HMO with $1000 deductible ,Masters,1.5,USD - US dollar,,,24
7/30/2025 10:49:11,,United States,,Massachusetts,,Start-Up Biotech Organization,Private,Pharmaceutical (including “big pharma”),1-50,,41 - 45,"Director, Data Management",Clinical,,Remote,5,,0,,10,,Salaried,Not applicable,228000,N/A (no overtime/am salaried),20,No commission,800000,3,,,,401k match (match for first 4% and then half for next 2%),healthcare insurance paid 100% by employer,Masters,1,USD - US dollar,,,20
7/29/2025 11:04:07,,Belgium, ,,,Prefer not to say,Private,Pharmaceutical (including “big pharma”),5000+,,36 - 40,Principal scientist process chemistry,Research,define synthetic route for commercial production of novel APIs,In-Person,0,,4,,6,,Salaried,Not applicable,105000,N/A (no overtime/am salaried),14,No commission,12000, ,,,,,,PhD,6,EUR - euro,,,
7/29/2025 8:40:22,,Canada,,,Ontario,Prefer not to say,Public,Pharmaceutical (including “big pharma”),200-1000,,41 - 45,"Manager, Quality Assurance",Quality,,Remote,5,,7,,7,,Salaried,Not applicable,105000,N/A (no overtime/am salaried),10,No commission,20000,Have not been long enough to have an annual yearly raise,,3000 stock options,,5% match,,Bachelors + post-grad cert,<1,CAD - Canadian dollar,,,
7/29/2025 7:51:47,,United States,,Massachusetts,,Prefer not to say,Public,Cell and Gene Therapy,200-1000,,30 - 35,Associate Scientist II,Research,In vivo ,In-Person,0.5,,3,,3,,Salaried,Not applicable,78000,N/A (no overtime/am salaried),8,No commission,0,Have not been long enough to have an annual yearly raise,,,,6,,Bachelors,1,USD - US dollar,,ESPP ,N/a
7/28/2025 22:28:55,,United States,,New Jersey,,Prefer not to say,Public,Pharmaceutical (including “big pharma”),1000-5000,4/5,51 - 60,Executive Director,Data Science / Bioinformatics,Commercial Insights & Analytics,Hybrid,2,,0,,15,,Salaried,Not applicable,365000,N/A (no overtime/am salaried),32,No commission,120000,3.25%,180000,RSU grants,0,401k match 10%,typical,Masters,2,USD - US dollar,"3/5, not enough specificity in certain places",,32%
7/28/2025 20:35:31,,United States,,Massachusetts,,Moderna,Public,Pharmaceutical (including “big pharma”),1000-5000,"A lot of stress and political upheaval, dont know whats coming ",41 - 45,Associate Specialist,Manufacturing,"Deviations, batch review, capas, change controls, doc revisions",In-Person,1,,0,,8,,Hourly,36 - 48,45.83,1.5 x base,8,No commission,10000,3%,10000,15000,10000,"401k match, benepass, therapy abd other usual ones","FSA, $123 medical for family per pay period",Bachelors,1,USD - US dollar,,Stocks,8.80%
7/28/2025 15:53:50,,United States,,Massachusetts,,Prefer not to say,Public,Cell and Gene Therapy,1000-5000,,41 - 45,Senior Scientist,Research,In vitro disease models and toxicology,In-Person,0,,7,,4,,Salaried,Not applicable,152500,N/A (no overtime/am salaried),18,No commission,53000,3%,,"45000 (50% RSU, 50% options)",,6% 401k match,,PhD,1.5,USD - US dollar,,RSU (35% base),20% cash + 35% RSU
7/27/2025 20:38:18,,United States,,Massachusetts,,Astrazeneca,Private,Pharmaceutical (including “big pharma”),5000+,4 over 5,36 - 40,Senior research scientist,Research,Computational chemist,Hybrid,2,,3,,4,,Salaried,Not applicable,150000,N/A (no overtime/am salaried),17,No commission,105000,Have not been long enough to have an annual yearly raise,15000,,,401k 6% match,"Standard medica, eye and dental insurance, HSA, FSA, eye and dental FSA",PhD,1,USD - US dollar,,,24%
7/27/2025 16:56:44,,United Kingdom,London,,,Prefer not to say,Private,Pharmaceutical (including “big pharma”),1-50,,30 - 35,Bioinformatician,Data Science / Bioinformatics,,Hybrid,4,,0,,4,,Salaried,40,47000,N/A (no overtime/am salaried),,No commission,0,Have not been long enough to have an annual yearly raise,,,,,,Masters,0,GBP - sterling,,,
7/27/2025 13:50:28,,United States,,Washington,,Prefer not to say,Private,Contract Research Organization,1-50,,36 - 40,Scientist I,Research,,In-Person,0,,0,,9,,Salaried,Not applicable,105000,N/A (no overtime/am salaried),0,No commission,0,Company/Institution does not have annual yearly raise,0,RSU,,None,,Masters,4,USD - US dollar,,None,0%
7/27/2025 13:25:48,,United States,,California,,Kite,Subsidiary,Cell and Gene Therapy,1000-5000,,36 - 40,Laboratory Operations Manager,Operations,Manage the lab spaces and equipment,Hybrid,1,,0,,8,,Salaried,Not applicable,150000,N/A (no overtime/am salaried),15,No commission,10000,3.50%,15000,30000 RSUs,,"100% 401K match up to $15,000/yr. ",Comprehensive benefits,Masters,2,USD - US dollar,,,15
7/26/2025 22:07:41,,United States,,Maryland,,Prefer not to say,Government,Academia/Research/Institution,1000-5000,,41 - 45,Health Science Administrator ,Administration,,In-Person,0,,10,,17,,Salaried,Not applicable,142000,N/A (no overtime/am salaried),,No commission,0,2.90%,,,,,,PhD,10,USD - US dollar,,,
7/25/2025 12:21:38,,United States,,California,,Genentech,Private,Pharmaceutical (including “big pharma”),5000+,"Good science, nice people.  Okay work/life balance. ",46 - 50,Scientist 3,Research,Bench Scientist working on large scale functional genomics projects. ,In-Person,0,,0,,0,,Salaried,Not applicable,142000,N/A (no overtime/am salaried),15,No commission,5000,Have not been long enough to have an annual yearly raise,15000,14% of base salary in stock options over 3 years,0,4% 401k match,,PhD,1,USD - US dollar,,,n/a
7/24/2025 23:21:40,,United States,,Massachusetts,,Takeda ,Public,Pharmaceutical (including “big pharma”),5000+,-,41 - 45,Associate director commercial  ,Market access ,Market access strategy and marketing,Hybrid,3,,0,,7,,Salaried,Not applicable,200000,N/A (no overtime/am salaried),22,No commission,44000,Have not been long enough to have an annual yearly raise,0,7500 max stock purchasing plan,0,4% 401k match,Unaware,Masters, months ,USD - US dollar,-,0,0
7/24/2025 11:33:22,,United States,,New York,,Prefer not to say,Public,Pharmaceutical (including “big pharma”),5000+,Just got the job so I can’t ,36 - 40,Associate scientist ,Research,Lab Automation for the seamless processing of immunodiagnostic samples. ,In-Person,0,,0,,5,,Salaried,Not applicable,75000,N/A (no overtime/am salaried),7.5,No commission,0,Have not been long enough to have an annual yearly raise,5000,0,0,4.5,Full benefits ,Masters,0,USD - US dollar,,Sign on ,6
7/24/2025 10:16:55,,United States,,Massachusetts,,Moderna,Public,Industrial Biotech,5000+,,36 - 40,Principal Scientist,Research,,In-Person,1,,2,,8,,Salaried,Not applicable,175000,N/A (no overtime/am salaried),15,No commission,70000,"Yes, annual raise",,,,,,PhD,5,USD - US dollar,,,
7/23/2025 23:50:52,,United States,,California,,Prefer not to say,Private,Pharmaceutical (including “big pharma”),1-50,,46 - 50,Sr. Director of Antibody Engineering,Research,,Hybrid,1,,0,,7,,Salaried,Not applicable,245000,N/A (no overtime/am salaried),15,No commission,0,4,,,,,,PhD,2.5,USD - US dollar,,,15
7/23/2025 14:24:28,,United States,,California,,Myriad Genetics,Public,Diagnostics,1000-5000,,36 - 40,Lab Automation Engineer,Research,,In-Person,0,,0,,8,,Salaried,Not applicable,121000,N/A (no overtime/am salaried),,No commission,0,3,,,,"401k, pay $100/mo towards student loans ","FSA, HSA, PPO, Kaiser",Bachelors,2.5,USD - US dollar,,,
7/23/2025 4:38:20,,United Kingdom,Edinburgh,,,Concept Life Sciences,Private,Contract Research Organization,50-200,,36 - 40,Scientist,Research,,In-Person,0,,0,,12,,Salaried,Not applicable,31181,N/A (no overtime/am salaried),,No commission,0,~2%,0,0,0,5% of salary paid into pension by employer,Employee Assistance Plan,Bachelors,3,GBP - sterling,,,
7/23/2025 2:58:35,,United States,,California,,Prefer not to say,Private,Pharmaceutical (including “big pharma”),50-200,,36 - 40,Associate Director ,CMC,Drug substance development,In-Person,0,,0,,8,,Salaried,Not applicable,199700,N/A (no overtime/am salaried),15,No commission,25000,4%,0,40K options over 4 yrs,0,Employee contribute 5% company match 4%,HMO/PPO plan,PhD,1.5,USD - US dollar,,,13.5
7/22/2025 18:02:51,,United Kingdom,Cambridge,,,AstraZeneca,Private,Pharmaceutical (including “big pharma”),5000+,,36 - 40,Associate Director,Research,Medicinal Chemistry Leader,In-Person,1,,12,,9,,Salaried,Not applicable,78500,N/A (no overtime/am salaried),12,No commission,0,4,10000,None,0,None,Healthcare included,PhD,2,GBP - sterling,,"Stocks, about 4500GBP per year",16
7/22/2025 16:37:38,,United States,,California,,Caltech ,Academia/College/Universities,Academia/Research/Institution,1-50,,41 - 45,Research technician,Research,Lab logistics and histology/ molecular biology for individual projects ,In-Person,0,,0,,5,,Hourly,40,56000,1.5x base,,No commission,0,1.5,,,,,,Masters,2,USD - US dollar,,,
7/22/2025 10:45:33,,United States,,Massachusetts,,Prefer not to say,Public,Pharmaceutical (including “big pharma”),5000+,,36 - 40,Co-op,Research,Oncology research contract position ,In-Person,0,,0,,0,,Hourly,40,68640,N/A (no overtime/am salaried),,No commission,0,Have not been long enough to have an annual yearly raise,,,,,,"Bachelors degree, almost finished with MS bioE",0,USD - US dollar,,,
7/22/2025 1:18:45,,United States,,North Carolina,,Prefer not to say,Private,Pharmaceutical (including “big pharma”),1-50,,46 - 50,"Director, Clinical Science ",Clinical,,Remote,5,,1,,11,,Salaried,Not applicable,265000,N/A (no overtime/am salaried),30,No commission,100000,Have not been long enough to have an annual yearly raise,,,,,,PhD,2 months,USD - US dollar,,,30%
7/21/2025 6:35:34,,United States,,Massachusetts,,Prefer not to say,Public,Cell and Gene Therapy,50-200,3.5/5,36 - 40,Scientist I,Analytical Development,Develop assays and qualify for drug substance characterization,In-Person,1,,0,,9,,Salaried,Not applicable,145000,N/A (no overtime/am salaried),8,No commission,2500,4,10000,2500,0,"4% 401k match, ","DCFSA, ortho benefits ",Masters,2.5,USD - US dollar,,RSUs,8
7/19/2025 16:46:00,,United States,,Massachusetts,,Prefer not to say,Public,Pharmaceutical (including “big pharma”),5000+,,46 - 50,"Director, Business Development",Business Development,Typical in-license focused BD function.,Hybrid,2,,0,,18,,Salaried,Not applicable,246000,N/A (no overtime/am salaried),25,No commission,0,2.6,0,0,45000,,,PhD,2,USD - US dollar,,N/A,25.50%
7/19/2025 4:32:53,,Portugal,Lisbon,,,Roche,Private,Diagnostics,5000+,They pay trainees excepcionally bad despite qualifications and experience performing similar tasks (within academia as research fellow) ,36 - 40,Medical Affairs Trainee,Research,,Hybrid,2,,0,,0,,Salaried,Not applicable,12000,N/A (no overtime/am salaried),0,No commission,0,Have not been long enough to have an annual yearly raise,0,0,0,,Health insurance ,Masters,0,EUR - euro,,,
7/18/2025 23:11:06,,United States,,California,,Prefer not to say,Public,Pharmaceutical (including “big pharma”),50-200,"My first major job out of school, landed in an amazing team who all learn from each other. I've developed quickly as an asset with leadership giving me ample opportunity to present, speak, and engage in activities (or am invited to things) I am not required to do just as a learning experience. 10/10. Small biotech can do amazing work. This group has tried extremely hard to maintain its employees and the culture has been nothing but stellar to work in overall.",41 - 45,Scientist II,Research,"Chemistry, synthesis",In-Person,0,,0,,3,,Salaried,Not applicable,141668,N/A (no overtime/am salaried),15,No commission,7034.79,7%,15000,"Grant to purchase 3150 shares, started vesting after 1 year and every month thereafter. Board of directors has given out additional grants as encouraging milestones were met. Company enrolls in an employee stock purchase plan if you so choose.",0,"401k match up to $12,000","Wide variety of benefits that are al a carte. Employer covers long and short term disability costs for a few thousand, life insurance for about 300k. Employer contributes ~$3k to HSA annually. Bare bones for a single person with no dependents my out of pocket costs including HDHP, dental, vision costs me about $86 per paycheck (~$2k per year). ",PhD,3,USD - US dollar,"I have yet to read through most of it, but I love the concept and I hope to contribute again.",,15
7/18/2025 17:20:32,,United States,,New Jersey,,Integra LifeSciences,Public,Medical/Health Devices,5000+,Poor,41 - 45,Senior Chemist,Analytical Development,I help resolve issues for the company using a variety of instruments.,In-Person,0,,0,,10,,Salaried,Not applicable,87000,N/A (no overtime/am salaried),10,No commission,0,3,0,0,0,401k with 5% match,"United Healthcare, VSP eye insurance",Bachelors,7,USD - US dollar,,,7
7/18/2025 12:50:21,,United States,,Michigan,,LabCorp Early Development Laboratories,Private,Contract Research Organization,5000+,"3/10 - Good place to start, but terrible culture, terrible management, constant reorgs, bad retention rate. Decent pay for the job requirements and compared to other companies for the same position. Do not reccomend working here unless there are no other options",36 - 40,Study Technician III,Preclinical,"Mouse handling and restraint to administer drug and cells through various dosing routes, such as PO, IP, IV, and SC. Additionally, training in blood draws, necropsies, implants, SARRP, and research study preparation. Accurately and ethically obtains and records findings and information of present studies. Conduct and employ animal husbandry practices to ensure animal welfare. Give additional operations support when and where needed",In-Person,0,,0,"ALAT, LAT",3,,Hourly,40,62004.8,1.5x,,No commission,0,Company/Institution does not have annual yearly raise,0,ESPP,0,6% 401k match,"HSA rewards, three tiers of plans, high deductibles, free blood testing at LabCorp sites",Bachelors,3,USD - US dollar,"Simple, straightforward",,10.41%
7/18/2025 7:43:01,,Germany,Berlin,,,Prefer not to say,Private,Biotech consulting,1-50,,41 - 45,Senior Consultant,Business Development,"Asset screening, technical due diligence, clinical strategy",Hybrid,3,,1,,4,,Salaried,Not applicable,106000,N/A (no overtime/am salaried),20,No commission,0,1%,,,,,,PhD,4,EUR - euro,,Personal performance bonus 15%,26%
7/17/2025 19:25:48,,United States,,Utah,,Prefer not to say,Private,Diagnostics,1-50,,41 - 45,Principal Scientist,Research,,In-Person,0,,0,,1,,Salaried,Not applicable,141000,N/A (no overtime/am salaried),0,No commission,0,4,,,,,,PhD,1,USD - US dollar,,0,0
7/17/2025 19:18:58,,United States,,New Jersey,,Evotec (Insourced at Merck),Private,Contract Research Organization,1000-5000,,30 - 35,Research Associate ,Research,Protein expression group working with Microbiology and High throughput sequencing,In-Person,0,,0,,0,,Salaried,Not applicable,64000,N/A (no overtime/am salaried),,No commission,0,Have not been long enough to have an annual yearly raise,,,,3% Match,,Masters,6 months,USD - US dollar,,,
7/16/2025 23:52:34,,United States,,Massachusetts,,Sarepta,Public,Cell and Gene Therapy,200-1000,,36 - 40,Lead engineer ,Data Science / Bioinformatics,"Manufacturing Data Analytics, Data Science, Data Visualization, Data Engineering ",Hybrid,2,,13,,10,,Salaried,40,159000,N/A (no overtime/am salaried),15,No commission,10000,4,,,,,,Masters,3,USD - US dollar,,,18
7/16/2025 23:20:57,,United States,,Massachusetts,,Prefer not to say,Private,Pharmaceutical (including “big pharma”),1-50,Love the company and the culture. Leadership is transparent and decisions are fueled by employee input .,36 - 40,Associate Scientist 2,Research,,In-Person,0,,0,,5,,Salaried,Not applicable,110000,N/A (no overtime/am salaried),10,No commission,15000,4.9,10000,,6000,,,Masters,1.5,USD - US dollar,,,15
7/16/2025 22:16:26,,United States,,California,,BioMarin,Public,Cell and Gene Therapy,1000-5000,,30 - 35,Senior Associate,Operations,,Hybrid,3,,0,,7,,Salaried,Not applicable,118000,N/A (no overtime/am salaried),12,No commission,520,Have not been long enough to have an annual yearly raise,,RSU,,401k march @ 6% ,"Traditional & HDHP w/ HSA, FSA (if no HSA), LSA, pre-tax Travel Spending Account, Lyra counseling, identity theft protection, ARAG legal services, and probably more that I am forgetting",Bachelors,Less than a year,USD - US dollar,,,N/A
7/16/2025 20:59:17,,United States,,Massachusetts,,Prefer not to say,Public,Cell and Gene Therapy,50-200,,36 - 40,Scientist I,Research,,In-Person,0,,2,,1,,Salaried,Not applicable,126300,N/A (no overtime/am salaried),12,No commission,0,Have not been long enough to have an annual yearly raise,0,"10,000",0,None,$500 HRA,PhD,1,USD - US dollar,,,
7/16/2025 19:15:16,,United States,,Massachusetts,,Prefer not to say,Private,pre clinical biotech,50-200,,36 - 40,Associate Scientist ,Research,,In-Person,0,,0,,7,,Salaried,Not applicable,100000,N/A (no overtime/am salaried),7.5,No commission,0,10,,,,401k (no matching),"BCBS PPO plan at substantial discount to employee, dental insurance, vision insurance ",Bachelors,4,USD - US dollar,Great idea to track this info! ,,
7/16/2025 9:40:41,,United States,,Massachusetts,,Prefer not to say,Private,Pharmaceutical (including “big pharma”),50-200,,30 - 35,Clinical supply chain manager ,Manufacturing,Manages all pack and label distribution for clinical studies ,Hybrid,2,,0,,6,,Salaried,Not applicable,150000,N/A (no overtime/am salaried),15,No commission,500,4%,25000,,,Match 401k,Hsa contribution and student loan contribution ,Bachelors,2,USD - US dollar,,"Signing bonus, stock options and rsus ",13%
